"ISIC Rev. 4","CPC 2.1","CPA 2.1","Review","Redundancy","Unmatched","NoMatchFromA","NoMatchFromB","ISIC Rev. 4_Description","CPC 2.1_CPC21title","CPA 2.1_Name","CPA 2.1_Include","CPA 2.1_Exclude","CPA 2.1_URI","ISIC Rev. 4_ISIC4partial","ISIC Rev. 4_CPC21partial","CPA 2.1_CPA 2.1 label","CPA 2.1_CPC 2.1 label","CPA 2.1_Count of CPA 2.1","CPA 2.1_Count of CPC 2.1","CPA 2.1_Comment"
"","","66","","0","1","","1","","","Services auxiliary to financial services and insurance services","","","66","","","","","","",""
"","","66.1","","0","1","","1","","","Services auxiliary to financial services, except insurance and pension funding","","This group excludes:
- insurance, reinsurance and pension funding services, see 65","661","","","","","","",""
"","","66.11","","0","1","","1","","","Services related to the administration of financial markets","","","6611","","","","","","",""
"","","66.11.1","","0","1","","1","","","Services related to the administration of financial markets","","","66111","","","","","","",""
"","","66.12","","0","1","","1","","","Security and commodity contracts brokerage services","","","6612","","","","","","",""
"","","66.12.1","","0","1","","1","","","Security and commodity contracts brokerage services","","This category excludes:
- portfolio management services, on a fee or contract basis, see 66.30.11","66121","","","","","","",""
"","","66.19","","0","1","","1","","","Other services auxiliary to financial services, except insurance and pension funding","","This class excludes:
- insurance, reinsurance and pension funding services, see 65","6619","","","","","","",""
"","","66.19.1","","0","1","","1","","","Processing and clearing services of securities transactions","","","66191","","","","","","",""
"","","66.19.2","","0","1","","1","","","Auxiliary services related to investment banking","","","66192","","","","","","",""
"","","66.19.3","","0","1","","1","","","Trust and custody services","","","66193","","","","","","",""
"","","66.19.9","","0","1","","1","","","Other services auxiliary to financial services, except insurance and pension funding, n.e.c.","","This category excludes:
- insurance, reinsurance and pension funding services, see 65","66199","","","","","","",""
"","","66.2","","0","1","","1","","","Services auxiliary to insurance and pension funding","","","662","","","","","","",""
"","","66.21","","0","1","","1","","","Risk and damage evaluation services","","","6621","","","","","","",""
"","","66.21.1","","0","1","","1","","","Risk and damage evaluation services","","","66211","","","","","","",""
"","","66.22","","0","1","","1","","","Services of insurance agents and brokers","","","6622","","","","","","",""
"","","66.22.1","","0","1","","1","","","Services of insurance agents and brokers","","","66221","","","","","","",""
"","","66.29","","0","1","","1","","","Other services auxiliary to insurance and pension funding","","","6629","","","","","","",""
"","","66.29.1","","0","1","","1","","","Other services auxiliary to insurance and pension funding","","","66291","","","","","","",""
"","","66.3","","0","1","","1","","","Fund management services","","","663","","","","","","",""
"","","66.30","","0","1","","1","","","Fund management services","","","6630","","","","","","",""
"","","66.30.1","","0","1","","1","","","Fund management services","","","66301","","","","","","",""
"","","68","","0","1","","1","","","Real estate services","","","68","","","","","","",""
"","","68.1","","0","1","","1","","","Buying and selling services of own real estate","","","681","","","","","","",""
"","","68.10","","0","1","","1","","","Buying and selling services of own real estate","","","6810","","","","","","",""
"","","68.10.1","","0","1","","1","","","Buying and selling services of own real estate","","","68101","","","","","","",""
"","","68.2","","0","1","","1","","","Rental and operating services of own or leased real estate","","","682","","","","","","",""
"","","68.20","","0","1","","1","","","Rental and operating services of own or leased real estate","","","6820","","","","","","",""
"","","68.20.1","","0","1","","1","","","Rental and operating services of own or leased real estate","","","68201","","","","","","",""
"","","68.3","","0","1","","1","","","Real estate services on a fee or contract basis","","","683","","","","","","",""
"","","68.31","","0","1","","1","","","Real estate agency services on a fee or contract basis","","","6831","","","","","","",""
"","","68.31.1","","0","1","","1","","","Real estate agency services on a fee or contract basis","","","68311","","","","","","",""
"","","68.32","","0","1","","1","","","Management services of real estate on a fee or contract basis","","","6832","","","","","","",""
"","","68.32.1","","0","1","","1","","","Management services of real estate on a fee or contract basis","","","68321","","","","","","",""
"","","69","","0","1","","1","","","Legal and accounting services","","","69","","","","","","",""
"","","69.1","","0","1","","1","","","Legal services","","","691","","","","","","",""
"","","69.10","","0","1","","1","","","Legal services","","","6910","","","","","","",""
"","","69.10.1","","0","1","","1","","","Legal services","","This category excludes:
- law courts related administrative services, see 84.23.11","69101","","","","","","",""
"","","69.2","","0","1","","1","","","Accounting, bookkeeping and auditing services; tax consulting services","","","692","","","","","","",""
"","","69.20","","0","1","","1","","","Accounting, bookkeeping and auditing services; tax consulting services","","","6920","","","","","","",""
"","","69.20.1","","0","1","","1","","","Financial auditing services","","","69201","","","","","","",""
"","","69.20.2","","0","1","","1","","","Accounting services","","This category excludes:
- data processing services, see 63.11.11","69202","","","","","","",""
"","","69.20.3","","0","1","","1","","","Tax consulting services","","","69203","","","","","","",""
"","","69.20.4","","0","1","","1","","","Insolvency and receivership services","","","69204","","","","","","",""
"","","70","","0","1","","1","","","Services of head offices; management consulting services","","","70","","","","","","",""
"","","70.1","","0","1","","1","","","Services of head offices","","","701","","","","","","",""
"","","70.10","","0","1","","1","","","Services of head offices","","","7010","","","","","","",""
"","","70.10.1","","0","1","","1","","","Services of head offices","","","70101","","","","","","",""
"","","70.2","","0","1","","1","","","Management consulting services","","","702","","","","","","",""
"","","70.21","","0","1","","1","","","Public relations and communication services","","","7021","","","","","","",""
"","","70.21.1","","0","1","","1","","","Public relations and communication services","","","70211","","","","","","",""
"","","70.22","","0","1","","1","","","Business and other management consulting services","","","7022","","","","","","",""
"","","70.22.1","","0","1","","1","","","Business management consulting services","","","70221","","","","","","",""
"","","70.22.2","","0","1","","1","","","Other project management services, except construction project management services","","This category excludes:
- construction project management services, see 71.12.20","70222","","","","","","",""
"","","70.22.3","","0","1","","1","","","Other business consulting services","","","70223","","","","","","",""
"","","71","","0","1","","1","","","Architectural and engineering services; technical testing and analysis services","","","71","","","","","","",""
"","","71.1","","0","1","","1","","","Architectural and engineering services and related technical consulting services","This group includes:
- drafting services (detailed layouts, drawings, plans and illustrations of buildings, structures, systems or components from engineering and architectural specifications, done by architectural draftsmen or engineering technicians)","","711","","","","","","",""
"","","71.11","","0","1","","1","","","Architectural services","","","7111","","","","","","",""
"","","71.11.1","","0","1","","1","","","Plans and drawings for architectural purposes","","","71111","","","","","","",""
"","","71.11.2","","0","1","","1","","","Architectural services for buildings","","This category excludes:
- interior design services, see 74.10.11","71112","","","","","","",""
"","","71.11.3","","0","1","","1","","","Urban and land planning services","","","71113","","","","","","",""
"","","71.11.4","","0","1","","1","","","Landscape architectural services and architectural advisory services","","","71114","","","","","","",""
"","","71.12","","0","1","","1","","","Engineering services and related technical consulting services","","","7112","","","","","","",""
"","","71.12.1","","0","1","","1","","","Engineering services","","This category excludes: 
- research and experimental development services in engineering, see 72.19.3","71121","","","","","","",""
"","","71.12.2","","0","1","","1","","","Project management services for construction projects","","","71122","","","","","","",""
"","","71.12.3","","0","1","","1","","","Geological, geophysical and related prospecting and consulting services","","","71123","","","","","","",""
"","","71.2","","0","1","","1","","","Technical testing and analysis services","","","712","","","","","","",""
"","","71.20","","0","1","","1","","","Technical testing and analysis services","","","7120","","","","","","",""
"","","71.20.1","","0","1","","1","","","Technical testing and analysis services","","","71201","","","","","","",""
"","","72","","0","1","","1","","","Scientific research and development services","","This division excludes:
- market research services, see 73.20.11","72","","","","","","",""
"","","72.0","","0","1","","1","","","Interdisciplinary research and experimental development services","","","720","","","","","","",""
"","","72.00","","0","1","","1","","","Interdisciplinary research and experimental development services","","","7200","","","","","","",""
"","","72.00.1","","0","1","","1","","","Interdisciplinary research and experimental development services, except originals","","","72001","","","","","","",""
"","","72.00.2","","0","1","","1","","","Interdisciplinary research and development originals","","","72002","","","","","","",""
"","","72.1","","0","1","","1","","","Research and experimental development services in natural sciences and engineering","","","721","","","","","","",""
"","","72.11","","0","1","","1","","","Research and experimental development services in biotechnology","","","7211","","","","","","",""
"","","72.11.1","","0","1","","1","","","Research and experimental development services in health biotechnology","This category includes research and experimental development services in the application of science and technology to living organisms as well as parts, products or models thereof, to alter living or non-living materials for the production of knowledge, goods and services.
This includes:
- research and experimental development services on DNA (the coding):
  • genomics, pharmaco-genetics, geneprobes, DNA sequencing/synthesis/amplification, genetic engineering
- research and experimental development on proteins and molecules (the functional blocks):
  • protein/peptide sequencing/synthesis, lipid/protein/glyco engineering, proteomics, hormones and growth factors, cell receptors/signalling/pheromones
- research and experimental development on cell and tissue culture and engineering:
  • cell/tissue culture, tissue engineering, hybridisation, cellular fusion, vaccine/immune stimulants, embryo manipulation
- research and experimental development on process biotechnologies:
  • bioreactors, fermentation, bio processing, bioleaching, bio desulphurisation, bio pulping, bio filtration, bioremediation
- research and experimental development on sub-cellular organisms:
  • gene therapy, viral vectors","","72111","","","","","","",""
"","","72.11.2","","0","1","","1","","","Research and experimental development services in environmental and industrial biotechnology","","","72112","","","","","","",""
"","","72.11.3","","0","1","","1","","","Research and experimental development services in agricultural biotechnology","","","72113","","","","","","",""
"","","72.11.4","","0","1","","1","","","Research and development originals in biotechnology","","","72114","","","","","","",""
"","","72.19","","0","1","","1","","","Research and experimental development services in other natural sciences and engineering","","","7219","","","","","","",""
"","","72.19.1","","0","1","","1","","","Research and experimental development services in physical sciences","This category includes:
- research and experimental development services on heat, light, electromagnetism, astronomy etc.","","72191","","","","","","",""
"","","72.19.2","","0","1","","1","","","Research and experimental development services in chemistry and biology","","","72192","","","","","","",""
"","","72.19.3","","0","1","","1","","","Research and experimental development services in engineering and technology, except biotechnology","","","72193","","","","","","",""
"","","72.19.4","","0","1","","1","","","Research and experimental development services in medical sciences and pharmacy","","","72194","","","","","","",""
"","","72.19.5","","0","1","","1","","","Research and experimental development services in agricultural sciences","","","72195","","","","","","",""
"","","72.19.6","","0","1","","1","","","Research and experimental development services in other natural sciences","","","72196","","","","","","",""
"","","72.19.7","","0","1","","1","","","Research and development originals in other natural sciences and engineering","","","72197","","","","","","",""
"","","72.2","","0","1","","1","","","Research and experimental development services in social sciences and humanities","","","722","","","","","","",""
"","","72.20","","0","1","","1","","","Research and experimental development services in social sciences and humanities","","","7220","","","","","","",""
"","","72.20.1","","0","1","","1","","","Research and experimental development services in psychology","","","72201","","","","","","",""
"","","72.20.2","","0","1","","1","","","Research and experimental development services in law","This category includes:
- research and experimental development services in public law, civil law etc.","","72202","","","","","","",""
"","","72.20.3","","0","1","","1","","","Research and experimental development services in languages and literature","This category includes:
- research and experimental development services in ancient and modern languages and literature","","72203","","","","","","",""
"","","72.20.4","","0","1","","1","","","Research and experimental development services in other social sciences and humanities","","","72204","","","","","","",""
"","","72.20.5","","0","1","","1","","","Research and experimental development services in economics","This category includes:
- research and experimental development services in theories of economics, business management, finance, statistics etc.","This category excludes:
- market research services, see 73.20.11","72205","","","","","","",""
"","","72.20.6","","0","1","","1","","","Research and development originals in social sciences and humanities","","","72206","","","","","","",""
"","","73","","0","1","","1","","","Advertising and market research services","","","73","","","","","","",""
"","","73.1","","0","1","","1","","","Advertising services","","","731","","","","","","",""
"","","73.11","","0","1","","1","","","Services provided by advertising agencies","","","7311","","","","","","",""
"","","73.11.1","","0","1","","1","","","Services provided by advertising agencies","","","73111","","","","","","",""
"","","73.12","","0","1","","1","","","Media representation services","","","7312","","","","","","",""
"","","73.12.1","","0","1","","1","","","Sale of advertising space or time on a fee or contract basis","This category includes:
- sale or leasing services of advertising space or time on a fee or contract basis
- services of media buying agencies, which buy media space or time on behalf of advertisers or advertising agencies","This category excludes:
- public relations and communication services, see 70.21.10","73121","","","","","","",""
"","","73.12.2","","0","1","","1","","","Re-sale of advertising space or time on a fee or contract basis","","","73122","","","","","","",""
"","","73.2","","0","1","","1","","","Market research and public opinion polling services","","","732","","","","","","",""
"","","73.20","","0","1","","1","","","Market research and public opinion polling services","","","7320","","","","","","",""
"","","73.20.1","","0","1","","1","","","Market research and similar services","This category includes:
- market analysis, analysis of competition and behaviour of consumers
- use of research monographs, statistics, econometric models, surveys etc.","This category excludes:
- advertising services, see 73.1
- public opinion polling services, see 73.20.20","73201","","","","","","",""
"","","73.20.2","","0","1","","1","","","Public opinion polling services","","","73202","","","","","","",""
"","","74","","0","1","","1","","","Other professional, scientific and technical services","","","74","","","","","","",""
"","","74.1","","0","1","","1","","","Specialised design services","","","741","","","","","","",""
"","","74.10","","0","1","","1","","","Specialised design services","","","7410","","","","","","",""
"","","74.10.1","","0","1","","1","","","Interior, industrial and other specialised design services","","","74101","","","","","","",""
"","","74.10.2","","0","1","","1","","","Design originals","","","74102","","","","","","",""
"","","74.2","","0","1","","1","","","Photographic services","","","742","","","","","","",""
"","","74.20","","0","1","","1","","","Photographic services","","","7420","","","","","","",""
"","","74.20.1","","0","1","","1","","","Photographic plates and film, other than cinematographic, exposed","","","74201","","","","","","",""
"","","74.20.2","","0","1","","1","","","Specialised photography services","","","74202","","","","","","",""
"","","74.20.3","","0","1","","1","","","Other photographic services","","","74203","","","","","","",""
"","","74.3","","0","1","","1","","","Translation and interpretation services","","","743","","","","","","",""
"","","74.30","","0","1","","1","","","Translation and interpretation services","","","7430","","","","","","",""
"","","74.30.1","","0","1","","1","","","Translation and interpretation services","","","74301","","","","","","",""
"","","74.9","","0","1","","1","","","Other professional, scientific and technical services n.e.c.","","","749","","","","","","",""
"","","74.90","","0","1","","1","","","Other professional, scientific and technical services n.e.c.","","","7490","","","","","","",""
"","","74.90.1","","0","1","","1","","","Professional and technical support and consulting services n.e.c.","","","74901","","","","","","",""
"","","74.90.2","","0","1","","1","","","Other professional, technical and business services n.e.c.","","","74902","","","","","","",""
"","","75","","0","1","","1","","","Veterinary services","","","75","","","","","","",""
"","","75.0","","0","1","","1","","","Veterinary services","","","750","","","","","","",""
"","","75.00","","0","1","","1","","","Veterinary services","","","7500","","","","","","",""
"","","75.00.1","","0","1","","1","","","Veterinary services","","This category excludes: 
- services related to animal husbandry such as artificial insemination, see 01.62.10
- veterinary testing and control services in relation to food production, see 71.20.11","75001","","","","","","",""
"","","77","","0","1","","1","","","Rental and leasing services","","This division excludes:
- financial leasing services, see 64.91.10","77","","","","","","",""
"","","77.1","","0","1","","1","","","Rental and leasing services of motor vehicles","","","771","","","","","","",""
"","","77.11","","0","1","","1","","","Rental and leasing services of cars and light motor vehicles","","","7711","","","","","","",""
"","","77.11.1","","0","1","","1","","","Rental and leasing services of cars and light motor vehicles","","","77111","","","","","","",""
"","","77.12","","0","1","","1","","","Rental and leasing services of trucks","","","7712","","","","","","",""
"","","77.12.1","","0","1","","1","","","Rental and leasing services of trucks","","","77121","","","","","","",""
"","","77.2","","0","1","","1","","","Rental and leasing services of personal and household goods","","","772","","","","","","",""
"","","77.21","","0","1","","1","","","Rental and leasing services of recreational and sports goods","","","7721","","","","","","",""
"","","77.21.1","","0","1","","1","","","Rental and leasing services of recreational and sports goods","","","77211","","","","","","",""
"","","77.22","","0","1","","1","","","Rental services of video tapes and disks","","","7722","","","","","","",""
"","","77.22.1","","0","1","","1","","","Rental services of video tapes and disks","","","77221","","","","","","",""
"","","77.29","","0","1","","1","","","Rental and leasing services of other personal and household goods","","","7729","","","","","","",""
"","","77.29.1","","0","1","","1","","","Rental and leasing services of other personal and household goods","","","77291","","","","","","",""
"","","77.3","","0","1","","1","","","Rental and leasing services of other machinery, equipment and tangible goods","","","773","","","","","","",""
"","","77.31","","0","1","","1","","","Rental and leasing services of agricultural machinery and equipment","","","7731","","","","","","",""
"","","77.31.1","","0","1","","1","","","Rental and leasing services of agricultural machinery and equipment","","","77311","","","","","","",""
"","","77.32","","0","1","","1","","","Rental and leasing services of construction and civil engineering machinery and equipment","","","7732","","","","","","",""
"","","77.32.1","","0","1","","1","","","Rental and leasing services of construction and civil engineering machinery and equipment","","","77321","","","","","","",""
"","","77.33","","0","1","","1","","","Rental and leasing services of office machinery and equipment (including computers)","","","7733","","","","","","",""
"","","77.33.1","","0","1","","1","","","Rental and leasing services of office machinery and equipment (including computers)","","","77331","","","","","","",""
"","","77.34","","0","1","","1","","","Rental and leasing services of water transport equipment","","","7734","","","","","","",""
"","","77.34.1","","0","1","","1","","","Rental and leasing services of water transport equipment","","","77341","","","","","","",""
"","","77.35","","0","1","","1","","","Rental and leasing services of air transport equipment","","","7735","","","","","","",""
"","","77.35.1","","0","1","","1","","","Rental and leasing services of air transport equipment","","","77351","","","","","","",""
"","","77.39","","0","1","","1","","","Rental and leasing services of other machinery, equipment and tangible goods n.e.c.","","","7739","","","","","","",""
"","","77.39.1","","0","1","","1","","","Rental and leasing services of other machinery, equipment and tangible goods n.e.c.","","","77391","","","","","","",""
"","","77.4","","0","1","","1","","","Licensing services for the right to use intellectual property and similar products, except copyrighted works","","","774","","","","","","",""
"","","77.40","","0","1","","1","","","Licensing services for the right to use intellectual property and similar products, except copyrighted works","","","7740","","","","","","",""
"","","77.40.1","","0","1","","1","","","Licensing services for the right to use intellectual property and similar products, except copyrighted works","This category includes
- permitting, granting or otherwise authorising the use of intellectual property products and similar products 

This covers rights to exploit these products, such as licensing to third parties; using patented designs in production processes to produce new goods and so on.

Limited end user licenses, which are sold as part of a product (e.g. packaged software, books) are not included here.","This category excludes: 
- licensing services for the copyrighted works (books, films, music, software, computer games), see corresponding subcategories in 58, 59
- drafting, certification and legal services concerning intellectual property products, see 69.10.15
- management services for rights to industrial property (patents, licences, trademarks, franchises etc.), see 74.90.20
- management services for copyrights and their revenues, except for motion picture and artistic rights, see 74.90.20","77401","","","","","","",""
"","83960","77.40.14","","0","1","","0","","Trademarks and franchises","Trademarks and franchises","This subcategory includes:
- original trademarks and franchises, i.e. the legally registered ownership of a certain brand name

These products are produced on own account with the intent of deriving benefits from allowing others to use these trademarks or franchises.","This subcategory excludes:
- advisory services for the organisation of marketing channels (including franchises), see 70.22.13
- research and development work leading to a product or concept that is being trademarked, see division 72
- management services for rights to trademarks and franchises, see 74.90.20
- licensing services for the right to use trademarks and franchises, see 77.40.12","774014","","","Trademarks and franchises","Trademarks and franchises","1","1",""
"","","78","","0","1","","1","","","Employment services","","","78","","","","","","",""
"","","78.1","","0","1","","1","","","Services provided by employment placement agencies","","","781","","","","","","",""
"","","78.10","","0","1","","1","","","Services provided by employment placement agencies","","","7810","","","","","","",""
"","","78.10.1","","0","1","","1","","","Services provided by employment placement agencies","","","78101","","","","","","",""
"","","78.2","","0","1","","1","","","Temporary employment agency services","","","782","","","","","","",""
"","","78.20","","0","1","","1","","","Temporary employment agency services","","","7820","","","","","","",""
"","","78.20.1","","0","1","","1","","","Temporary employment agency services","This category includes:
- staffing services for the supply of personnel for temporary work assignments 

The temporary staffing firm hires its own employees and assigns/supplies them to clients to support or supplement the client's workforce in work situations such as employee absences, temporary skill shortages, seasonal workloads, and special assignments and projects. The employees are on the payroll of the temporary staffing firm which is legally responsible for their actions, but when working they are under the direct supervision of the client. The temporary staffing firm specifies the pay, benefits etc. of the employee.","","78201","","","","","","",""
"","","78.3","","0","1","","1","","","Other human resources provision services","","","783","","","","","","",""
"","","78.30","","0","1","","1","","","Other human resources provision services","","This class excludes:
- provision services of human resources functions together with supervision or running of the business, see the class in the respective economic activity of that business
- provision services of only one of human resources functions, see the class in the respective economic activity of that function","7830","","","","","","",""
"","","78.30.1","","0","1","","1","","","Other human resources provision services","This category includes:
- services for the supply of personnel for extended work assignments

Under the terms of this arrangement, the client may recruit the person or persons hired by the staffing firm and assigned to their place of work, or transfer a portion of their existing workforce to the staffing firm. Long-term employees are placed on the payroll of the staffing firm, which is legally responsible for their actions, but when working they are supervised by the client. This service includes labour leasing, staff leasing, employee leasing, extended employee staffing and payrolling.","","78301","","","","","","",""
"","","79","","0","1","","1","","","Travel agency, tour operator and other reservation services and related services","","","79","","","","","","",""
"","","79.1","","0","1","","1","","","Travel agency and tour operator services","","","791","","","","","","",""
"","","79.11","","0","1","","1","","","Travel agency services","","","7911","","","","","","",""
"","","79.11.1","","0","1","","1","","","Travel agency services for transport reservations","This category includes:
- services related to sales of transportation and related services

These services include obtaining a client's requirements, advising on alternatives, assisting in the client's choice and may include issuance of tickets on behalf of the service provider. They are often provided in person, by telephone or over the Internet. Respective reselling services are also included. The reservations can be for domestic and international transport.","","79111","","","","","","",""
"","","79.11.2","","0","1","","1","","","Travel agency services for reservation of accommodation, cruises and package tours","","","79112","","","","","","",""
"","","79.12","","0","1","","1","","","Tour operator services","","","7912","","","","","","",""
"","","79.12.1","","0","1","","1","","","Tour operator services","","","79121","","","","","","",""
"","","79.9","","0","1","","1","","","Other reservation services and related services","","","799","","","","","","",""
"","","79.90","","0","1","","1","","","Other reservation services and related services","","This class excludes:
- travel agency services, see 79.11
- tour operator and tour manager services, see 79.12.1","7990","","","","","","",""
"","","79.90.1","","0","1","","1","","","Tourism promotion and visitor information services","","","79901","","","","","","",""
"","","79.90.2","","0","1","","1","","","Tourist guide services","","","79902","","","","","","",""
"","","79.90.3","","0","1","","1","","","Other reservation services n.e.c.","","","79903","","","","","","",""
"","","80","","0","1","","1","","","Security and investigation services","","","80","","","","","","",""
"","","80.1","","0","1","","1","","","Private security services","","","801","","","","","","",""
"","","80.10","","0","1","","1","","","Private security services","","","8010","","","","","","",""
"","","80.10.1","","0","1","","1","","","Private security services","","","80101","","","","","","",""
"","","80.2","","0","1","","1","","","Security systems services","","","802","","","","","","",""
"","","80.20","","0","1","","1","","","Security systems services","","","8020","","","","","","",""
"","","80.20.1","","0","1","","1","","","Security systems services","","","80201","","","","","","",""
"","","80.3","","0","1","","1","","","Investigation services","","","803","","","","","","",""
"","","80.30","","0","1","","1","","","Investigation services","","","8030","","","","","","",""
"","","80.30.1","","0","1","","1","","","Investigation services","","","80301","","","","","","",""
"","","81","","0","1","","1","","","Services to buildings and landscape","","","81","","","","","","",""
"","","81.1","","0","1","","1","","","Combined facilities support services","","","811","","","","","","",""
"","","81.10","","0","1","","1","","","Combined facilities support services","","","8110","","","","","","",""
"","","81.10.1","","0","1","","1","","","Combined facilities support services","","","81101","","","","","","",""
"","","81.2","","0","1","","1","","","Cleaning services","","","812","","","","","","",""
"","","81.21","","0","1","","1","","","General cleaning services of buildings","","","8121","","","","","","",""
"","","81.21.1","","0","1","","1","","","General cleaning services of buildings","","","81211","","","","","","",""
"","","81.22","","0","1","","1","","","Other building and industrial cleaning services","","","8122","","","","","","",""
"","","81.22.1","","0","1","","1","","","Industrial cleaning services","","","81221","","","","","","",""
"","","81.29","","0","1","","1","","","Other cleaning services","","","8129","","","","","","",""
"","","81.29.1","","0","1","","1","","","Other cleaning services","","","81291","","","","","","",""
"","","81.3","","0","1","","1","","","Landscape services","","","813","","","","","","",""
"","","81.30","","0","1","","1","","","Landscape services","","","8130","","","","","","",""
"","","81.30.1","","0","1","","1","","","Landscape services","","","81301","","","","","","",""
"","","82","","0","1","","1","","","Office administrative, office support and other business support services","","","82","","","","","","",""
"","","82.1","","0","1","","1","","","Office administrative and support services","","","821","","","","","","",""
"","","82.11","","0","1","","1","","","Combined office administrative services","","","8211","","","","","","",""
"","","82.11.1","","0","1","","1","","","Combined office administrative services","","","82111","","","","","","",""
"","","82.19","","0","1","","1","","","Photocopying, document preparation and other specialised office support services","","","8219","","","","","","",""
"","","82.19.1","","0","1","","1","","","Photocopying, document preparation and other specialised office support services","","","82191","","","","","","",""
"","","82.2","","0","1","","1","","","Call centre services","","","822","","","","","","",""
"","","82.20","","0","1","","1","","","Call centre services","","","8220","","","","","","",""
"","","82.20.1","","0","1","","1","","","Call centre services","","","82201","","","","","","",""
"","","82.3","","0","1","","1","","","Convention and trade show organisation services","","","823","","","","","","",""
"","","82.30","","0","1","","1","","","Convention and trade show organisation services","","","8230","","","","","","",""
"","","82.30.1","","0","1","","1","","","Convention and trade show organisation services","","","82301","","","","","","",""
"","","82.9","","0","1","","1","","","Business support services n.e.c.","","","829","","","","","","",""
"","","82.91","","0","1","","1","","","Collection agency and credit bureau services","","","8291","","","","","","",""
"","","82.91.1","","0","1","","1","","","Collection agency and credit bureau services","","","82911","","","","","","",""
"","","82.92","","0","1","","1","","","Packaging services","","","8292","","","","","","",""
"","","82.92.1","","0","1","","1","","","Packaging services","","","82921","","","","","","",""
"","","82.99","","0","1","","1","","","Other business support services n.e.c.","","","8299","","","","","","",""
"","","82.99.1","","0","1","","1","","","Other business support services n.e.c.","","","82991","","","","","","",""
"","","84","","0","1","","1","","","Public administration and defence services; compulsory social security services","","","84","","","","","","",""
"","","84.1","","0","1","","1","","","Administration services of the State and the economic and social policy of the community","","","841","","","","","","",""
"","","84.11","","0","1","","1","","","General public administration services","","","8411","","","","","","",""
"","","84.11.1","","0","1","","1","","","General (overall) public services","","","84111","","","","","","",""
"","","84.11.2","","0","1","","1","","","Supporting services for the government","","","84112","","","","","","",""
"","","84.12","","0","1","","1","","","Administrative services for the regulation of health care, education, cultural services and other social services, excluding social security","","This class excludes:
- compulsory social security services, see 84.30.1","8412","","","","","","",""
"","","84.12.1","","0","1","","1","","","Administrative services for the regulation of health care, education, cultural services and other social services excluding social security","This category includes:
- public administrative services of research and development policies and associated funds for these areas","This category excludes:
- compulsory social security services, see 84.30.1","84121","","","","","","",""
"","","84.13","","0","1","","1","","","Administrative services for more efficient operation of businesses","","","8413","","","","","","",""
"","","84.13.1","","0","1","","1","","","Administrative services for more efficient operation of businesses","This category includes:
- administrative services of research and development policies and associated funds in these sectors
- support and information services for the below-mentioned affairs","This category excludes:
- research and experimental development services, see division 72","84131","","","","","","",""
"","","84.2","","0","1","","1","","","Provision of services to the community as a whole","","","842","","","","","","",""
"","","84.21","","0","1","","1","","","Foreign affairs services","","","8421","","","","","","",""
"","","84.21.1","","0","1","","1","","","Foreign affairs services","","This category excludes:
- international disaster or conflict refugee services, see 88.99.19","84211","","","","","","",""
"","","84.22","","0","1","","1","","","Defence services","","","8422","","","","","","",""
"","","84.22.1","","0","1","","1","","","Defence services","This category includes:
- administrative services of defence-related research and development policies and related funds","","84221","","","","","","",""
"","","84.23","","0","1","","1","","","Justice and judicial services","","","8423","","","","","","",""
"","","84.23.1","","0","1","","1","","","Justice and judicial services","","","84231","","","","","","",""
"","","84.24","","0","1","","1","","","Public order and safety services","","","8424","","","","","","",""
"","","84.24.1","","0","1","","1","","","Public order and safety services","","This category excludes:
- operation of police laboratories, see 71.20.19
- administrative and operation services of military armed forces, see 84.22.11
- administrative and operational services for fire fighting and fire prevention by regular and auxiliary fire brigades financed by public authorities, see 84.25.11
- combat of floods and other natural disasters, beach surveillance and rescue operations on open water and in mountains and similar activities carried out by fire brigades, see 84.25.19","84241","","","","","","",""
"","","84.25","","0","1","","1","","","Fire brigade services","","","8425","","","","","","",""
"","","84.25.1","","0","1","","1","","","Fire brigade services","","","84251","","","","","","",""
"","","84.3","","0","1","","1","","","Compulsory social security services","","","843","","","","","","",""
"","","84.30","","0","1","","1","","","Compulsory social security services","","","8430","","","","","","",""
"","","84.30.1","","0","1","","1","","","Compulsory social security services","","This category excludes:
- non-compulsory social security services, see division 65
- welfare and social work services (without accommodation), see 88.10, 88.9","84301","","","","","","",""
"","","85","","0","1","","1","","","Education services","","","85","","","","","","",""
"","","85.1","","0","1","","1","","","Pre-primary education services","","","851","","","","","","",""
"","","85.10","","0","1","","1","","","Pre-primary education services","","","8510","","","","","","",""
"","","85.10.1","","0","1","","1","","","Pre-primary education services","","","85101","","","","","","",""
"","","85.2","","0","1","","1","","","Primary education services","","","852","","","","","","",""
"","","85.20","","0","1","","1","","","Primary education services","","","8520","","","","","","",""
"","","85.20.1","","0","1","","1","","","Primary education services","This category includes:
- educational services provided at ISCED Level 1, which includes programmes designed to provide students with an initial basic education in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music","","85201","","","","","","",""
