NAICS 2017,NACE Rev. 2,NACE Rev. 2,US NAICS 2017,Notes
325910,20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Printing Ink Manufacturing,
325998,20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",All Other Miscellaneous Chemical Product and Preparation Manufacturing,Textile dye preparations and other household dye or tinting preparations (except hair)
339940,20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Office Supplies (except Paper) Manufacturing,Artists' paints and colors
325611,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",Soap and Other Detergent Manufacturing,
325612,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",Polish and Other Sanitation Good Manufacturing,"Except household and industrial disinfectants, household lye, and laundry starch"
325613,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",Surface Active Agent Manufacturing,"Except leather and textile finishing agents, mordants"
332999,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",All Other Miscellaneous Fabricated Metal Product Manufacturing,Soap impregnated metal scouring pads
325620,20.42,Manufacture of perfumes and toilet preparations,Toilet Preparation Manufacturing,
339999,20.42,Manufacture of perfumes and toilet preparations,All Other Miscellaneous Manufacturing,Potpourri
325920,20.51,Manufacture of explosives,Explosives Manufacturing,
332992,20.51,Manufacture of explosives,Small Arms Ammunition Manufacturing,Small arms percussion caps and primers
332993,20.51,Manufacture of explosives,Ammunition (except Small Arms) Manufacturing,"Detonators, fuses, and primers for ammunition"
325520,20.52,Manufacture of glues,Adhesive Manufacturing,Glues
325998,20.53,Manufacture of essential oils,All Other Miscellaneous Chemical Product and Preparation Manufacturing,
325199,20.59,Manufacture of other chemical products n.e.c.,All Other Basic Organic Chemical Manufacturing,"Synthetic plasticizer compounds, synthetic accelerators, naphthenic acid soaps"
325413,20.59,Manufacture of other chemical products n.e.c.,In-Vitro Diagnostic Substance Manufacturing,Diagnostic reagents
325612,20.59,Manufacture of other chemical products n.e.c.,Polish and Other Sanitation Good Manufacturing,Laundry starch
325613,20.59,Manufacture of other chemical products n.e.c.,Surface Active Agent Manufacturing,"Leather and textile finishing agents, mordants"
325992,20.59,Manufacture of other chemical products n.e.c.,"Photographic Film, Paper, Plate, and Chemical Manufacturing",Except toner cartridges
325998,20.59,Manufacture of other chemical products n.e.c.,All Other Miscellaneous Chemical Product and Preparation Manufacturing,"Except distilled water, textile dye preparations, household dye (except hair) drilling mud compounds, and aerosol packaging"
325220,20.60,Manufacture of man-made fibres,Artificial and Synthetic Fibers and Filaments Manufacturing,Except cellophane film or sheet
325199,21.10,Manufacture of basic pharmaceutical products,All Other Basic Organic Chemical Manufacturing,Salicylic acid (nonmedicinal)
325411,21.20,Manufacture of pharmaceutical preparations,Medicinal and Botanical Manufacturing,
325412,21.20,Manufacture of pharmaceutical preparations,Pharmaceutical Preparation Manufacturing,
325413,21.20,Manufacture of pharmaceutical preparations,In-Vitro Diagnostic Substance Manufacturing,Except diagnostic reagents
325414,21.20,Manufacture of pharmaceutical preparations,Biological Product (except Diagnostic) Manufacturing,
339113,21.20,Manufacture of pharmaceutical preparations,Surgical Appliance and Supplies Manufacturing,"Surgical dressings, surgical sutures, etc, medicated"
326211,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Tire Manufacturing (except Retreading),Except rubber tire repair materials
326212,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Tire Retreading,
313320,22.19,Manufacture of other rubber products,Fabric Coating Mills,Rubberized fabric
315990,22.19,Manufacture of other rubber products,Apparel Accessories and Other Apparel Manufacturing,Rubber bathing caps and aprons
326211,22.19,Manufacture of other rubber products,Tire Manufacturing (except Retreading),Rubber tire repair materials
326220,22.19,Manufacture of other rubber products,Rubber and Plastics Hose and Belting Manufacturing,Except plastics hose and belting
326291,22.19,Manufacture of other rubber products,Rubber Product Manufacturing for Mechanical Use,
326299,22.19,Manufacture of other rubber products,All Other Rubber Product Manufacturing,Except rubber battery separators
337910,22.19,Manufacture of other rubber products,Mattress Manufacturing,Rubber waterbed mattresses
339920,22.19,Manufacture of other rubber products,Sporting and Athletic Goods Manufacturing,Rubber wet suits and diving suits
339991,22.19,Manufacture of other rubber products,"Gasket, Packing, and Sealing Device Manufacturing",Rubber gaskets
325220,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",Artificial and Synthetic Fibers and Filaments Manufacturing,Cellophane film or sheet
326112,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",Plastics Packaging Film and Sheet (including Laminated) Manufacturing,
326113,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,
326121,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",Unlaminated Plastics Profile Shape Manufacturing,
326122,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",Plastics Pipe and Pipe Fitting Manufacturing,
326130,22.21,"Manufacture of plastic plates, sheets, tubes and profiles","Laminated Plastics Plate, Sheet (except packaging), and Shape Manufacturing",
326220,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",Rubber and Plastics Hose and Belting Manufacturing,Plastics (reinforced) hose and belting manufacturing
314910,22.22,Manufacture of plastic packing goods,Textile Bag and Canvas Mills,Plastics blanket bags - heat seamed
326111,22.22,Manufacture of plastic packing goods,Plastics Bag Manufacturing,
326160,22.22,Manufacture of plastic packing goods,Plastics Bottle Manufacturing,
322220,22.23,Manufacture of builders’ ware of plastic,Paper Bag and Coated and Treated Paper Manufacturing,"Vinyl wallpaper, plastic wallpaper"
326191,22.23,Manufacture of builders’ ware of plastic,Plastics Plumbing Fixture Manufacturing,
326199,22.23,Manufacture of builders’ ware of plastic,All Other Plastics Product Manufacturing,
332913,22.23,Manufacture of builders’ ware of plastic,Plumbing Fixture Fitting and Trim Manufacturing,Plastics plumbing fixture fittings and trim
337215,22.23,Manufacture of builders’ ware of plastic,"Showcase, Partition, Shelving, and Locker Manufacturing","Finished plastic furniture parts (e.g., frames)"
337920,22.23,Manufacture of builders’ ware of plastic,Blind and Shade Manufacturing,"Plastic shades, blinds (e.g., miniblinds), and plastics hardware for hanging shades, blinds, and drapery"
314120,22.29,Manufacture of other plastic products,Curtain and Linen Mills,Plastics shower curtains and table cloths made from purchased materials
322220,22.29,Manufacture of other plastic products,Paper Bag and Coated and Treated Paper Manufacturing,Plastics self-adhesive tape
326140,22.29,Manufacture of other plastic products,Polystyrene Foam Product Manufacturing,
326150,22.29,Manufacture of other plastic products,Urethane and Other Foam Product (except Polystyrene) Manufacturing,
326199,22.29,Manufacture of other plastic products,All Other Plastics Product Manufacturing,"Except plastics battery separators, plastics air cargo containers, and plastics counter tops not fabricated at the site of construction"
336360,22.29,Manufacture of other plastic products,Motor Vehicle Seating and Interior Trim Manufacturing,Plastic motor vehicle interior panels and trim
337910,22.29,Manufacture of other plastic products,Mattress Manufacturing,Plastic waterbed mattresses
339950,22.29,Manufacture of other plastic products,Sign Manufacturing,"Blanks for plastic name plates, plastic letters for signs"
339991,22.29,Manufacture of other plastic products,"Gasket, Packing, and Sealing Device Manufacturing",Plastic gaskets
339999,22.29,Manufacture of other plastic products,All Other Miscellaneous Manufacturing,Miscellaneous plastic items
327211,23.11,Manufacture of flat glass,Flat Glass Manufacturing,
327215,23.12,Shaping and processing of flat glass,Glass Product Manufacturing Made of Purchased Glass,Glass mirrors and insulating units of glass
327212,23.13,Manufacture of hollow glass,Other Pressed and Blown Glass and Glassware Manufacturing,
327213,23.13,Manufacture of hollow glass,Glass Container Manufacturing,
327993,23.14,Manufacture of glass fibres,Mineral Wool Manufacturing,Fiberglass insulation products
327212,23.19,"Manufacture and processing of other glass, including technical glassware",Other Pressed and Blown Glass and Glassware Manufacturing,
327215,23.19,"Manufacture and processing of other glass, including technical glassware",Glass Product Manufacturing Made of Purchased Glass,
327120,23.20,Manufacture of refractory products,Clay Building Material and Refractories Manufacturing,
327120,23.31,Manufacture of ceramic tiles and flags,Clay Building Material and Refractories Manufacturing,Except adobe bricks and similar articles of fibre cement
327110,23.32,"Manufacture of bricks, tiles and construction products, in baked clay","Pottery, Ceramics, and Plumbing Fixture Manufacturing",
327120,23.32,"Manufacture of bricks, tiles and construction products, in baked clay",Clay Building Material and Refractories Manufacturing,Except adobe bricks and similar articles of fibre cement
327110,23.41,Manufacture of ceramic household and ornamental articles,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",
327110,23.42,Manufacture of ceramic sanitary fixtures,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",
327110,23.43,Manufacture of ceramic insulators and insulating fittings,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",
327110,23.44,Manufacture of other technical ceramic products,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",
327110,23.49,Manufacture of other ceramic products,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",
327310,23.51,Manufacture of cement,Cement Manufacturing,
327410,23.52,Manufacture of lime and plaster,Lime Manufacturing,
327420,23.52,Manufacture of lime and plaster,Gypsum Product Manufacturing,Manufacturing of gypsum plaster
327331,23.61,Manufacture of concrete products for construction purposes,Concrete Block and Brick Manufacturing,
327332,23.61,Manufacture of concrete products for construction purposes,Concrete Pipe Manufacturing,
327420,23.62,Manufacture of plaster products for construction purposes,Gypsum Product Manufacturing,
327320,23.63,Manufacture of ready-mixed concrete,Ready-Mix Concrete Manufacturing,
327999,23.63,Manufacture of ready-mixed concrete,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,"Dry mix mortar, dry mix concrete"
327120,23.64,Manufacture of mortars,Clay Building Material and Refractories Manufacturing,
327120,23.65,Manufacture of fibre cement,Clay Building Material and Refractories Manufacturing,Adobe bricks and similar articles of fibre cement
327999,23.65,Manufacture of fibre cement,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,Asbestos cement products
327390,23.69,"Manufacture of other articles of concrete, plaster and cement",Other Concrete Product Manufacturing,
327420,23.69,"Manufacture of other articles of concrete, plaster and cement",Gypsum Product Manufacturing,Except manufacturing of gypsum plaster
327991,23.70,"Cutting, shaping and finishing of stone",Cut Stone and Cut Stone Product Manufacturing,
453998,23.70,"Cutting, shaping and finishing of stone",All Other Miscellaneous Store Retailers (except Tobacco Stores),Custom finishing and lettering of tombstones
327910,23.91,Production of abrasive products,Abrasive Product Manufacturing,
322121,23.99,Manufacture of other non-metallic mineral products n.e.c.,Paper (except Newsprint) Mills,Tar paper made in paper mills
324121,23.99,Manufacture of other non-metallic mineral products n.e.c.,Asphalt Paving Mixture and Block Manufacturing,
324122,23.99,Manufacture of other non-metallic mineral products n.e.c.,Asphalt Shingle and Coating Materials Manufacturing,
325998,23.99,Manufacture of other non-metallic mineral products n.e.c.,All Other Miscellaneous Chemical Product and Preparation Manufacturing,Drilling mud compounds
327992,23.99,Manufacture of other non-metallic mineral products n.e.c.,Ground or Treated Mineral and Earth Manufacturing,
327993,23.99,Manufacture of other non-metallic mineral products n.e.c.,Mineral Wool Manufacturing,Except fiberglass insulation products
327999,23.99,Manufacture of other non-metallic mineral products n.e.c.,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,"Except dry mix mortar, dry mix concrete, stucco, asbestos cement products, and manufacturing/working but not setting synthetic precious or semiprecious stones for jewelry uses"
335991,23.99,Manufacture of other non-metallic mineral products n.e.c.,Carbon and Graphite Product Manufacturing,Carbon and graphite fibers and products (except electrodes and electrical applications)
336340,23.99,Manufacture of other non-metallic mineral products n.e.c.,Motor Vehicle Brake System Manufacturing,Asbestos based brake linings
336350,23.99,Manufacture of other non-metallic mineral products n.e.c.,Motor Vehicle Transmission and Power Train Parts Manufacturing,Asbestos based clutch facings
339991,23.99,Manufacture of other non-metallic mineral products n.e.c.,"Gasket, Packing, and Sealing Device Manufacturing",Non-metallic mineral gaskets
331110,24.10,Manufacture of basic iron and steel and of ferro-alloys,Iron and Steel Mills and Ferroalloy Manufacturing,
332912,24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Fluid Power Valve and Hose Fitting Manufacturing,Ferrous fluid power hose fittings made from purchased ferrous materials
332919,24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Other Metal Valve and Pipe Fitting Manufacturing,"Flanges, unions, and other pipe fittings made from purchased pipe"
332996,24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Fabricated Pipe and Pipe Fitting Manufacturing,"Fabricated metal pipe fittings made from purchased pipe, steel"
331221,24.31,Cold drawing of bars,Rolled Steel Shape Manufacturing,
331221,24.32,Cold rolling of narrow strip,Rolled Steel Shape Manufacturing,
331221,24.33,Cold forming or folding,Rolled Steel Shape Manufacturing,
331222,24.34,Cold drawing of wire,Steel Wire Drawing,Drawing steel wire from purchased steel
322220,24.41,Precious metals production,Paper Bag and Coated and Treated Paper Manufacturing,Precious metal foil laminates made from purchased foil
331410,24.41,Precious metals production,Nonferrous Metal (except Aluminum) Smelting and Refining,
331491,24.41,Precious metals production,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",Except other nonferrous wire products made in drawing plants
331492,24.41,Precious metals production,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",
332999,24.41,Precious metals production,All Other Miscellaneous Fabricated Metal Product Manufacturing,Miscellaneous nonferrous metal foil made from purchased foil
322220,24.42,Aluminium production,Paper Bag and Coated and Treated Paper Manufacturing,"Aluminum foil laminates made from purchased aluminum, foil as primary component"
331313,24.42,Aluminium production,Alumina Refining and Primary Aluminum Production,
331314,24.42,Aluminium production,Secondary Smelting and Alloying of Aluminum,
331315,24.42,Aluminium production,"Aluminum Sheet, Plate, and Foil Manufacturing",
331318,24.42,Aluminium production,"Other Aluminum Rolling, Drawing, and Extruding","Except aluminum wire products made in drawing plants and insulated aluminum wire capable of being used as a conductor, made in drawing plants"
332999,24.42,Aluminium production,All Other Miscellaneous Fabricated Metal Product Manufacturing,Miscellaneous nonferrous metal foil made from purchased foil
331410,24.43,"Lead, zinc and tin production",Nonferrous Metal (except Aluminum) Smelting and Refining,
331491,24.43,"Lead, zinc and tin production","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",Except other nonferrous wire products made in drawing plants
331492,24.43,"Lead, zinc and tin production","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",
332999,24.43,"Lead, zinc and tin production",All Other Miscellaneous Fabricated Metal Product Manufacturing,Miscellaneous nonferrous metal foil made from purchased foil
331410,24.44,Copper production,Nonferrous Metal (except Aluminum) Smelting and Refining,
331420,24.44,Copper production,"Copper Rolling, Drawing, Extruding, and Alloying","Drawing copper wire from purchased wire, except copper mechanical wire products made in drawing mills"
332913,24.44,Copper production,Plumbing Fixture Fitting and Trim Manufacturing,"Copper pipe fittings (such as copper elbows, unions, and compression fittings)"
332999,24.44,Copper production,All Other Miscellaneous Fabricated Metal Product Manufacturing,Miscellaneous nonferrous metal foil made from purchased foil
331410,24.45,Other non-ferrous metal production,Nonferrous Metal (except Aluminum) Smelting and Refining,
331491,24.45,Other non-ferrous metal production,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",Except other nonferrous wire products made in drawing plants
331492,24.45,Other non-ferrous metal production,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",
332912,24.45,Other non-ferrous metal production,Fluid Power Valve and Hose Fitting Manufacturing,Fluid power hose fittings made from purchased nonferrous metal
332996,24.45,Other non-ferrous metal production,Fabricated Pipe and Pipe Fitting Manufacturing,Pipe and pipe fittings made from purchased other nonferrous metal pipe
332999,24.45,Other non-ferrous metal production,All Other Miscellaneous Fabricated Metal Product Manufacturing,Miscellaneous nonferrous metal foil made from purchased foil
331410,24.46,Processing of nuclear fuel,Nonferrous Metal (except Aluminum) Smelting and Refining,"Uranium refining, primary"
331210,24.51,Casting of iron,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,
331511,24.51,Casting of iron,Iron Foundries,Except rolling mill rolls and steel ingot molds
331210,24.52,Casting of steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,
331512,24.52,Casting of steel,Steel Investment Foundries,
331513,24.52,Casting of steel,Steel Foundries (except Investment),
331523,24.53,Casting of light metals,Nonferrous Metal Die-Casting Foundries,
331524,24.53,Casting of light metals,Aluminum Foundries (except Die-Casting),
331529,24.53,Casting of light metals,Other Nonferrous Metal Foundries (except Die-Casting),
331523,24.54,Casting of other non-ferrous metals,Nonferrous Metal Die-Casting Foundries,
331529,24.54,Casting of other non-ferrous metals,Other Nonferrous Metal Foundries (except Die-Casting),
332311,25.11,Manufacture of metal structures and parts of structures,Prefabricated Metal Building and Component Manufacturing,
332312,25.11,Manufacture of metal structures and parts of structures,Fabricated Structural Metal Manufacturing,Except prefabricated ship and boat sections
332313,25.11,Manufacture of metal structures and parts of structures,Plate Work Manufacturing,"Except platework containers such as hoppers over 300 liters, reactor containment vessels, laminated crane hooks, ladle bails, and metal plate buoys"
332323,25.11,Manufacture of metal structures and parts of structures,Ornamental and Architectural Metal Work Manufacturing,Except chain ladders
332321,25.12,Manufacture of doors and windows of metal,Metal Window and Door Manufacturing,
332322,25.12,Manufacture of doors and windows of metal,Sheet Metal Work Manufacturing,Except sheet metal countertops not fabricated at the site of construction
332323,25.12,Manufacture of doors and windows of metal,Ornamental and Architectural Metal Work Manufacturing,Except chain ladders
337215,25.12,Manufacture of doors and windows of metal,"Showcase, Partition, Shelving, and Locker Manufacturing","Room partitions for floor attachment, metal"
333414,25.21,Manufacture of central heating radiators and boilers,Heating Equipment (except Warm Air Furnaces) Manufacturing,Central heating boilers and radiators
332313,25.29,"Manufacture of other tanks, reservoirs and containers of metal",Plate Work Manufacturing,"Metal platework containers over 300 liters, such as hoppers"
332420,25.29,"Manufacture of other tanks, reservoirs and containers of metal",Metal Tank (Heavy Gauge) Manufacturing,"Except autoclaves, fractioning columns, gas absorbers, ladles, annealing pots, smelting pots, retorts, and metal containers for one or more modes of transportation"
332439,25.29,"Manufacture of other tanks, reservoirs and containers of metal",Other Metal Container Manufacturing,"Light gauge containers over 300 liters, such as hoppers and bins"
332313,25.30,"Manufacture of steam generators, except central heating hot water boilers",Plate Work Manufacturing,Platework for nuclear reactors such as reactor containment vessels
332410,25.30,"Manufacture of steam generators, except central heating hot water boilers",Power Boiler and Heat Exchanger Manufacturing,Except heat exchangers
332992,25.40,Manufacture of weapons and ammunition,Small Arms Ammunition Manufacturing,"Except ammunition wads, percussion caps and primers"
332993,25.40,Manufacture of weapons and ammunition,Ammunition (except Small Arms) Manufacturing,"Except detonators, fuses and primers"
332994,25.40,Manufacture of weapons and ammunition,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",
332111,25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Iron and Steel Forging,
332112,25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Nonferrous Forging,
332114,25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Custom Roll Forming,
332117,25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Powder Metallurgy Part Manufacturing,
332119,25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy","Metal Crown, Closure, and Other Metal Stamping (except Automotive)",Metal stamping
336370,25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Motor Vehicle Metal Stamping,
332811,25.61,Treatment and coating of metals,Metal Heat Treating,
332812,25.61,Treatment and coating of metals,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",
332813,25.61,Treatment and coating of metals,"Electroplating, Plating, Polishing, Anodizing, and Coloring",
339910,25.61,Treatment and coating of metals,Jewelry and Silverware Manufacturing,"Industrial engraving on precious metal; engraving (including laser) and etching precious jewelry; engraving (including laser), etching or chasing precious or precious clad hollowware and silverware"
332710,25.62,Machining,Machine Shops,
332215,25.71,Manufacture of cutlery,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",
332510,25.72,Manufacture of locks and hinges,Hardware Manufacturing,
337920,25.72,Manufacture of locks and hinges,Blind and Shade Manufacturing,Drapery and curtain rods and hardware
332216,25.73,Manufacture of tools,Saw Blade and Handtool Manufacturing,"Except electric soldering irons, mechanical jacks, machinists' precision tools, and non-powered lawn mowers"
332510,25.73,Manufacture of tools,Hardware Manufacturing,
332999,25.73,Manufacture of tools,All Other Miscellaneous Fabricated Metal Product Manufacturing,"Saddlery parts, horse bits, shower rods, metal car seals and hand bellows"
333120,25.73,Manufacture of tools,Construction Machinery Manufacturing,Construction and surface mining drill bits
333131,25.73,Manufacture of tools,Mining Machinery and Equipment Manufacturing,Underground mining drill bits
333511,25.73,Manufacture of tools,Industrial Mold Manufacturing,
333514,25.73,Manufacture of tools,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","Except jigs, fixtures, and similar noncutting machine tool accessories"
333515,25.73,Manufacture of tools,Cutting Tool and Machine Tool Accessory Manufacturing,"Except noncutting accessories such as work holders, dividing heads, and other special attachments for machine tools"
332439,25.91,Manufacture of steel drums and similar containers,Other Metal Container Manufacturing,Except light gauge containers over 300 liters and light gauge metal air cargo containers
332119,25.92,Manufacture of light metal packaging,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",Except metal stamping
332431,25.92,Manufacture of light metal packaging,Metal Can Manufacturing,
332439,25.92,Manufacture of light metal packaging,Other Metal Container Manufacturing,Except light gauge containers over 300 liters and light gauge metal air cargo containers
331222,25.93,"Manufacture of wire products, chain and springs",Steel Wire Drawing,"Wire products except steel wire, steel wire shopping carts made in drawing plants, and insulated steel wire to be used as a conductor"
331318,25.93,"Manufacture of wire products, chain and springs","Other Aluminum Rolling, Drawing, and Extruding","Aluminum wire products, made in drawing plants"
331420,25.93,"Manufacture of wire products, chain and springs","Copper Rolling, Drawing, Extruding, and Alloying","Copper mechanical wire products made in drawing mills, except drawing copper wire from purchased wire and drawing and insulating copper wire capable of being used as a conductor"
331491,25.93,"Manufacture of wire products, chain and springs","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",Other nonferrous wire products made in drawing plants
332613,25.93,"Manufacture of wire products, chain and springs",Spring Manufacturing,
332618,25.93,"Manufacture of wire products, chain and springs",Other Fabricated Wire Product Manufacturing,Except hand sieves manufacturing
333992,25.93,"Manufacture of wire products, chain and springs",Welding and Soldering Equipment Manufacturing,Welding rods and electrodes
332722,25.94,Manufacture of fasteners and screw machine products,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",
322220,25.99,Manufacture of other fabricated metal products n.e.c.,Paper Bag and Coated and Treated Paper Manufacturing,"Laminating purchased foil and paper for packaging uses, foil as primary component"
323111,25.99,Manufacture of other fabricated metal products n.e.c.,Commercial Printing (except Screen and Books),Looseleaf binding fittings
332215,25.99,Manufacture of other fabricated metal products n.e.c.,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",Except kitchen hand sieves
332322,25.99,Manufacture of other fabricated metal products n.e.c.,Sheet Metal Work Manufacturing,Sheet metal countertops not fabricated at the site of construction
332323,25.99,Manufacture of other fabricated metal products n.e.c.,Ornamental and Architectural Metal Work Manufacturing,Chain ladders
332439,25.99,Manufacture of other fabricated metal products n.e.c.,Other Metal Container Manufacturing,Except light gauge containers over 300 liters and light gauge metal air cargo containers
332721,25.99,Manufacture of other fabricated metal products n.e.c.,Precision Turned Product Manufacturing,
332999,25.99,Manufacture of other fabricated metal products n.e.c.,All Other Miscellaneous Fabricated Metal Product Manufacturing,"Except soap impregnated scouring pads, nonferrous metal foils, precious metal foils, hand bellows, horse bits, saddlery parts, and shower rods"
333999,25.99,Manufacture of other fabricated metal products n.e.c.,All Other Miscellaneous General Purpose Machinery Manufacturing,"Industrial bellows, weather vanes"
337920,25.99,Manufacture of other fabricated metal products n.e.c.,Blind and Shade Manufacturing,Metal blinds
339910,25.99,Manufacture of other fabricated metal products n.e.c.,Jewelry and Silverware Manufacturing,"Personal goods (cigar and cigarette cases, coin purses, compacts, etc.) of base metal and of base metal plated with precious metal"
339950,25.99,Manufacture of other fabricated metal products n.e.c.,Sign Manufacturing,Metal signs and metal sign letters
339993,25.99,Manufacture of other fabricated metal products n.e.c.,"Fastener, Button, Needle, and Pin Manufacturing","Buckles, hooks, clasps, and similar"
339999,25.99,Manufacture of other fabricated metal products n.e.c.,All Other Miscellaneous Manufacturing,Metal picture frames
334412,26.11,Manufacture of electronic components,Bare Printed Circuit Board Manufacturing,
334413,26.11,Manufacture of electronic components,Semiconductor and Related Device Manufacturing,
334416,26.11,Manufacture of electronic components,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",
334417,26.11,Manufacture of electronic components,Electronic Connector Manufacturing,
334419,26.11,Manufacture of electronic components,Other Electronic Component Manufacturing,
334418,26.12,Manufacture of loaded electronic boards,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
334111,26.20,Manufacture of computers and peripheral equipment,Electronic Computer Manufacturing,
334112,26.20,Manufacture of computers and peripheral equipment,Computer Storage Device Manufacturing,
334118,26.20,Manufacture of computers and peripheral equipment,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Except digital cameras
334210,26.30,Manufacture of communication equipment,Telephone Apparatus Manufacturing,
334220,26.30,Manufacture of communication equipment,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Except GPS equipment and satellite manufacturing
334290,26.30,Manufacture of communication equipment,Other Communications Equipment Manufacturing,"Except motion detectors, traffic and pedestrian signaling equipment, and electromechanical safety and traffic control equipment"
334310,26.40,Manufacture of consumer electronics,Audio and Video Equipment Manufacturing,
339930,26.40,Manufacture of consumer electronics,"Doll, Toy, and Game Manufacturing",Video game consoles (dedicated games)
333997,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",Scale and Balance Manufacturing,"Laboratory scales and balances, incubators, and miscellaneous measuring devices for laboratories"
334220,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,GPS equipment manufacturing
334290,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",Other Communications Equipment Manufacturing,Motion detectors
334511,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
334512,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation","Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",
334513,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",
334514,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",Totalizing Fluid Meter and Counting Device Manufacturing,Except parking meters
334515,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,
334516,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",Analytical Laboratory Instrument Manufacturing,
334519,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",Other Measuring and Controlling Device Manufacturing,
334514,26.52,Manufacture of watches and clocks,Totalizing Fluid Meter and Counting Device Manufacturing,Parking meters
334519,26.52,Manufacture of watches and clocks,Other Measuring and Controlling Device Manufacturing,
334510,26.60,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",Electromedical and Electrotherapeutic Apparatus Manufacturing,
334517,26.60,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",Irradiation Apparatus Manufacturing,
333314,26.70,Manufacture of optical instruments and photographic equipment,Optical Instrument and Lens Manufacturing,
333316,26.70,Manufacture of optical instruments and photographic equipment,Photographic and Photocopying Equipment Manufacturing,"Digital cameras; except duplicating, blueprinting, and photocopy machinery"
334613,26.80,Manufacture of magnetic and optical media,Magnetic and Optical Recording Media Manufacturing,
