"Code","Label"
"G46.44","46.44 Wholesale of china and glassware and cleaning materials"
"G46.45","46.45 Wholesale of perfume and cosmetics"
"G46.46","46.46 Wholesale of pharmaceutical goods"
"G46.47","46.47 Wholesale of furniture, carpets and lighting equipment"
"G46.48","46.48 Wholesale of watches and jewellery"
"G46.49","46.49 Wholesale of other household goods"
"G46.5","46.5 Wholesale of information and communication equipment"
"G46.51","46.51 Wholesale of computers, computer peripheral equipment and software"
"G46.52","46.52 Wholesale of electronic and telecommunications equipment and parts"
"G46.6","46.6 Wholesale of other machinery, equipment and supplies"
"G46.61","46.61 Wholesale of agricultural machinery, equipment and supplies"
"G46.62","46.62 Wholesale of machine tools"
"G46.63","46.63 Wholesale of mining, construction and civil engineering machinery"
"G46.64","46.64 Wholesale of machinery for the textile industry and of sewing and knitting machines"
"G46.65","46.65 Wholesale of office furniture"
"G46.66","46.66 Wholesale of other office machinery and equipment"
"G46.69","46.69 Wholesale of other machinery and equipment"
"G46.7","46.7 Other specialised wholesale"
"G46.71","46.71 Wholesale of solid, liquid and gaseous fuels and related products"
"G46.72","46.72 Wholesale of metals and metal ores"
"G46.73","46.73 Wholesale of wood, construction materials and sanitary equipment"
"G46.74","46.74 Wholesale of hardware, plumbing and heating equipment and supplies"
"G46.75","46.75 Wholesale of chemical products"
"G46.76","46.76 Wholesale of other intermediate products"
"G46.77","46.77 Wholesale of waste and scrap"
"G46.9","46.9 Non-specialised wholesale trade"
"G46.90","46.90 Non-specialised wholesale trade"
"G47","47 Retail trade, except of motor vehicles and motorcycles"
"G47.1","47.1 Retail sale in non-specialised stores"
"G47.11","47.11 Retail sale in non-specialised stores with food, beverages or tobacco predominating"
"G47.19","47.19 Other retail sale in non-specialised stores"
"G47.2","47.2 Retail sale of food, beverages and tobacco in specialised stores"
"G47.21","47.21 Retail sale of fruit and vegetables in specialised stores"
"G47.22","47.22 Retail sale of meat and meat products in specialised stores"
"G47.23","47.23 Retail sale of fish, crustaceans and molluscs in specialised stores"
"G47.24","47.24 Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
"G47.25","47.25 Retail sale of beverages in specialised stores"
"G47.26","47.26 Retail sale of tobacco products in specialised stores"
"G47.29","47.29 Other retail sale of food in specialised stores"
"G47.3","47.3 Retail sale of automotive fuel in specialised stores"
"G47.30","47.30 Retail sale of automotive fuel in specialised stores"
"G47.4","47.4 Retail sale of information and communication equipment in specialised stores"
"G47.41","47.41 Retail sale of computers, peripheral units and software in specialised stores"
"G47.42","47.42 Retail sale of telecommunications equipment in specialised stores"
"G47.43","47.43 Retail sale of audio and video equipment in specialised stores"
"G47.5","47.5 Retail sale of other household equipment in specialised stores"
"G47.51","47.51 Retail sale of textiles in specialised stores"
"G47.52","47.52 Retail sale of hardware, paints and glass in specialised stores"
"G47.53","47.53 Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
"G47.54","47.54 Retail sale of electrical household appliances in specialised stores"
"G47.59","47.59 Retail sale of furniture, lighting equipment and other household articles in specialised stores"
"G47.6","47.6 Retail sale of cultural and recreation goods in specialised stores"
"G47.61","47.61 Retail sale of books in specialised stores"
"G47.62","47.62 Retail sale of newspapers and stationery in specialised stores"
"G47.63","47.63 Retail sale of music and video recordings in specialised stores"
"G47.64","47.64 Retail sale of sporting equipment in specialised stores"
"G47.65","47.65 Retail sale of games and toys in specialised stores"
"G47.7","47.7 Retail sale of other goods in specialised stores"
"G47.71","47.71 Retail sale of clothing in specialised stores"
"G47.72","47.72 Retail sale of footwear and leather goods in specialised stores"
"G47.73","47.73 Dispensing chemist in specialised stores"
"G47.74","47.74 Retail sale of medical and orthopaedic goods in specialised stores"
"G47.75","47.75 Retail sale of cosmetic and toilet articles in specialised stores"
"G47.76","47.76 Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
"G47.77","47.77 Retail sale of watches and jewellery in specialised stores"
"G47.78","47.78 Other retail sale of new goods in specialised stores"
"G47.79","47.79 Retail sale of second-hand goods in stores"
"G47.8","47.8 Retail sale via stalls and markets"
"G47.81","47.81 Retail sale via stalls and markets of food, beverages and tobacco products"
"G47.82","47.82 Retail sale via stalls and markets of textiles, clothing and footwear"
"G47.89","47.89 Retail sale via stalls and markets of other goods"
"G47.9","47.9 Retail trade not in stores, stalls or markets"
"G47.91","47.91 Retail sale via mail order houses or via Internet"
"G47.99","47.99 Other retail sale not in stores, stalls or markets"
"H49","49 Land transport and transport via pipelines"
"H49.1","49.1 Passenger rail transport, interurban"
"H49.10","49.10 Passenger rail transport, interurban"
"H49.2","49.2 Freight rail transport"
"H49.20","49.20 Freight rail transport"
"H49.3","49.3 Other passenger land transport"
"H49.31","49.31 Urban and suburban passenger land transport"
"H49.32","49.32 Taxi operation"
"H49.39","49.39 Other passenger land transport n.e.c."
"H49.4","49.4 Freight transport by road and removal services"
"H49.41","49.41 Freight transport by road"
"H49.42","49.42 Removal services"
"H49.5","49.5 Transport via pipeline"
"H49.50","49.50 Transport via pipeline"
"H50","50 Water transport"
"H50.1","50.1 Sea and coastal passenger water transport"
"H50.10","50.10 Sea and coastal passenger water transport"
"H50.2","50.2 Sea and coastal freight water transport"
"H50.20","50.20 Sea and coastal freight water transport"
"H50.3","50.3 Inland passenger water transport"
"H50.30","50.30 Inland passenger water transport"
"H50.4","50.4 Inland freight water transport"
"H50.40","50.40 Inland freight water transport"
"H51","51 Air transport"
"H51.1","51.1 Passenger air transport"
"H51.10","51.10 Passenger air transport"
"H51.2","51.2 Freight air transport and space transport"
"H51.21","51.21 Freight air transport"
"H51.22","51.22 Space transport"
"H52","52 Warehousing and support activities for transportation"
"H52.1","52.1 Warehousing and storage"
"H52.10","52.10 Warehousing and storage"
"H52.2","52.2 Support activities for transportation"
"H52.21","52.21 Service activities incidental to land transportation"
"H52.22","52.22 Service activities incidental to water transportation"
"H52.23","52.23 Service activities incidental to air transportation"
"H52.24","52.24 Cargo handling"
"H52.29","52.29 Other transportation support activities"
"H53","53 Postal and courier activities"
"H53.1","53.1 Postal activities under universal service obligation"
"H53.10","53.10 Postal activities under universal service obligation"
"H53.2","53.2 Other postal and courier activities"
"H53.20","53.20 Other postal and courier activities"
"I55","55 Accommodation"
"I55.1","55.1 Hotels and similar accommodation"
"I55.10","55.10 Hotels and similar accommodation"
"I55.2","55.2 Holiday and other short-stay accommodation"
"I55.20","55.20 Holiday and other short-stay accommodation"
"I55.3","55.3 Camping grounds, recreational vehicle parks and trailer parks"
"I55.30","55.30 Camping grounds, recreational vehicle parks and trailer parks"
"I55.9","55.9 Other accommodation"
"I55.90","55.90 Other accommodation"
"I56","56 Food and beverage service activities"
"I56.1","56.1 Restaurants and mobile food service activities"
"I56.10","56.10 Restaurants and mobile food service activities"
"I56.2","56.2 Event catering and other food service activities"
"I56.21","56.21 Event catering activities"
"I56.29","56.29 Other food service activities"
"I56.3","56.3 Beverage serving activities"
"I56.30","56.30 Beverage serving activities"
"J58","58 Publishing activities"
"J58.1","58.1 Publishing of books, periodicals and other publishing activities"
"J58.11","58.11 Book publishing"
"J58.12","58.12 Publishing of directories and mailing lists"
"J58.13","58.13 Publishing of newspapers"
"J58.14","58.14 Publishing of journals and periodicals"
"J58.19","58.19 Other publishing activities"
"J58.2","58.2 Software publishing"
"J58.21","58.21 Publishing of computer games"
"J58.29","58.29 Other software publishing"
"J59","59 Motion picture, video and television programme production, sound recording and music publishing activities"
"J59.1","59.1 Motion picture, video and television programme activities"
"J59.11","59.11 Motion picture, video and television programme production activities"
"J59.12","59.12 Motion picture, video and television programme post-production activities"
"J59.13","59.13 Motion picture, video and television programme distribution activities"
"J59.14","59.14 Motion picture projection activities"
"J59.2","59.2 Sound recording and music publishing activities"
"J59.20","59.20 Sound recording and music publishing activities"
"J60","60 Programming and broadcasting activities"
"J60.1","60.1 Radio broadcasting"
"J60.10","60.10 Radio broadcasting"
"J60.2","60.2 Television programming and broadcasting activities"
"J60.20","60.20 Television programming and broadcasting activities"
"J61","61 Telecommunications"
"J61.1","61.1 Wired telecommunications activities"
"J61.10","61.10 Wired telecommunications activities"
"J61.2","61.2 Wireless telecommunications activities"
"J61.20","61.20 Wireless telecommunications activities"
"J61.3","61.3 Satellite telecommunications activities"
"J61.30","61.30 Satellite telecommunications activities"
"J61.9","61.9 Other telecommunications activities"
"J61.90","61.90 Other telecommunications activities"
"J62","62 Computer programming, consultancy and related activities"
"J62.0","62.0 Computer programming, consultancy and related activities"
"J62.01","62.01 Computer programming activities"
"J62.02","62.02 Computer consultancy activities"
"J62.03","62.03 Computer facilities management activities"
"J62.09","62.09 Other information technology and computer service activities"
"J63","63 Information service activities"
"J63.1","63.1 Data processing, hosting and related activities; web portals"
"J63.11","63.11 Data processing, hosting and related activities"
"J63.12","63.12 Web portals"
"J63.9","63.9 Other information service activities"
"J63.91","63.91 News agency activities"
"J63.99","63.99 Other information service activities n.e.c."
"K64","64 Financial service activities, except insurance and pension funding"
"K64.1","64.1 Monetary intermediation"
"K64.11","64.11 Central banking"
"K64.19","64.19 Other monetary intermediation"
"K64.2","64.2 Activities of holding companies"
"K64.20","64.20 Activities of holding companies"
"K64.3","64.3 Trusts, funds and similar financial entities"
"K64.30","64.30 Trusts, funds and similar financial entities"
"K64.9","64.9 Other financial service activities, except insurance and pension funding"
"K64.91","64.91 Financial leasing"
"K64.92","64.92 Other credit granting"
"K64.99","64.99 Other financial service activities, except insurance and pension funding n.e.c."
"K65","65 Insurance, reinsurance and pension funding, except compulsory social security"
"K65.1","65.1 Insurance"
"K65.11","65.11 Life insurance"
"K65.12","65.12 Non-life insurance"
"K65.2","65.2 Reinsurance"
"K65.20","65.20 Reinsurance"
"K65.3","65.3 Pension funding"
"K65.30","65.30 Pension funding"
"K66","66 Activities auxiliary to financial services and insurance activities"
"K66.1","66.1 Activities auxiliary to financial services, except insurance and pension funding"
"K66.11","66.11 Administration of financial markets"
"K66.12","66.12 Security and commodity contracts brokerage"
"K66.19","66.19 Other activities auxiliary to financial services, except insurance and pension funding"
"K66.2","66.2 Activities auxiliary to insurance and pension funding"
"K66.21","66.21 Risk and damage evaluation"
"K66.22","66.22 Activities of insurance agents and brokers"
"K66.29","66.29 Other activities auxiliary to insurance and pension funding"
"K66.3","66.3 Fund management activities"
"K66.30","66.30 Fund management activities"
"L68","68 Real estate activities"
"L68.1","68.1 Buying and selling of own real estate"
"L68.10","68.10 Buying and selling of own real estate"
"L68.2","68.2 Rental and operating of own or leased real estate"
"L68.20","68.20 Rental and operating of own or leased real estate"
"L68.3","68.3 Real estate activities on a fee or contract basis"
"L68.31","68.31 Real estate agencies"
"L68.32","68.32 Management of real estate on a fee or contract basis"
"M69","69 Legal and accounting activities"
"M69.1","69.1 Legal activities"
"M69.10","69.10 Legal activities"
"M69.2","69.2 Accounting, bookkeeping and auditing activities; tax consultancy"
"M69.20","69.20 Accounting, bookkeeping and auditing activities; tax consultancy"
"M70","70 Activities of head offices; management consultancy activities"
"M70.1","70.1 Activities of head offices"
"M70.10","70.10 Activities of head offices"
"M70.2","70.2 Management consultancy activities"
"M70.21","70.21 Public relations and communication activities"
"M70.22","70.22 Business and other management consultancy activities"
"M71","71 Architectural and engineering activities; technical testing and analysis"
"M71.1","71.1 Architectural and engineering activities and related technical consultancy"
"M71.11","71.11 Architectural activities"
"M71.12","71.12 Engineering activities and related technical consultancy"
"M71.2","71.2 Technical testing and analysis"
"M71.20","71.20 Technical testing and analysis"
"M72","72 Scientific research and development"
"M72.1","72.1 Research and experimental development on natural sciences and engineering"
"M72.11","72.11 Research and experimental development on biotechnology"
"M72.19","72.19 Other research and experimental development on natural sciences and engineering"
"M72.2","72.2 Research and experimental development on social sciences and humanities"
"M72.20","72.20 Research and experimental development on social sciences and humanities"
"M73","73 Advertising and market research"
"M73.1","73.1 Advertising"
"M73.11","73.11 Advertising agencies"
"M73.12","73.12 Media representation"
"M73.2","73.2 Market research and public opinion polling"
"M73.20","73.20 Market research and public opinion polling"
"M74","74 Other professional, scientific and technical activities"
"M74.1","74.1 Specialised design activities"
"M74.10","74.10 Specialised design activities"
"M74.2","74.2 Photographic activities"
"M74.20","74.20 Photographic activities"
"M74.3","74.3 Translation and interpretation activities"
"M74.30","74.30 Translation and interpretation activities"
"M74.9","74.9 Other professional, scientific and technical activities n.e.c."
"M74.90","74.90 Other professional, scientific and technical activities n.e.c."
"M75","75 Veterinary activities"
"M75.0","75.0 Veterinary activities"
"M75.00","75.00 Veterinary activities"
"N77","77 Rental and leasing activities"
"N77.1","77.1 Rental and leasing of motor vehicles"
"N77.11","77.11 Rental and leasing of cars and light motor vehicles"
"N77.12","77.12 Rental and leasing of trucks"
"N77.2","77.2 Rental and leasing of personal and household goods"
"N77.21","77.21 Rental and leasing of recreational and sports goods"
"N77.22","77.22 Rental of video tapes and disks"
"N77.29","77.29 Rental and leasing of other personal and household goods"
"N77.3","77.3 Rental and leasing of other machinery, equipment and tangible goods"
"N77.31","77.31 Rental and leasing of agricultural machinery and equipment"
"N77.32","77.32 Rental and leasing of construction and civil engineering machinery and equipment"
"N77.33","77.33 Rental and leasing of office machinery and equipment (including computers)"
"N77.34","77.34 Rental and leasing of water transport equipment"
"N77.35","77.35 Rental and leasing of air transport equipment"
"N77.39","77.39 Rental and leasing of other machinery, equipment and tangible goods n.e.c."
"N77.4","77.4 Leasing of intellectual property and similar products, except copyrighted works"
"N77.40","77.40 Leasing of intellectual property and similar products, except copyrighted works"
"N78","78 Employment activities"
"N78.1","78.1 Activities of employment placement agencies"
"N78.10","78.10 Activities of employment placement agencies"
"N78.2","78.2 Temporary employment agency activities"
"N78.20","78.20 Temporary employment agency activities"
"N78.3","78.3 Other human resources provision"
"N78.30","78.30 Other human resources provision"
"N79","79 Travel agency, tour operator and other reservation service and related activities"
"N79.1","79.1 Travel agency and tour operator activities"
"N79.11","79.11 Travel agency activities"
"N79.12","79.12 Tour operator activities"
"N79.9","79.9 Other reservation service and related activities"
"N79.90","79.90 Other reservation service and related activities"
"N80","80 Security and investigation activities"
"N80.1","80.1 Private security activities"
"N80.10","80.10 Private security activities"
"N80.2","80.2 Security systems service activities"
"N80.20","80.20 Security systems service activities"
"N80.3","80.3 Investigation activities"
"N80.30","80.30 Investigation activities"
"N81","81 Services to buildings and landscape activities"
"N81.1","81.1 Combined facilities support activities"
"N81.10","81.10 Combined facilities support activities"
"N81.2","81.2 Cleaning activities"
"N81.21","81.21 General cleaning of buildings"
"N81.22","81.22 Other building and industrial cleaning activities"
"N81.29","81.29 Other cleaning activities"
"N81.3","81.3 Landscape service activities"
"N81.30","81.30 Landscape service activities"
"N82","82 Office administrative, office support and other business support activities"
"N82.1","82.1 Office administrative and support activities"
"N82.11","82.11 Combined office administrative service activities"
"N82.19","82.19 Photocopying, document preparation and other specialised office support activities"
"N82.2","82.2 Activities of call centres"
"N82.20","82.20 Activities of call centres"
"N82.3","82.3 Organisation of conventions and trade shows"
"N82.30","82.30 Organisation of conventions and trade shows"
"N82.9","82.9 Business support service activities n.e.c."
"N82.91","82.91 Activities of collection agencies and credit bureaus"
"N82.92","82.92 Packaging activities"
"N82.99","82.99 Other business support service activities n.e.c."
"O84","84 Public administration and defence; compulsory social security"
"O84.1","84.1 Administration of the State and the economic and social policy of the community"
"O84.11","84.11 General public administration activities"
"O84.12","84.12 Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
"O84.13","84.13 Regulation of and contribution to more efficient operation of businesses"
"O84.2","84.2 Provision of services to the community as a whole"
"O84.21","84.21 Foreign affairs"
"O84.22","84.22 Defence activities"
"O84.23","84.23 Justice and judicial activities"
"O84.24","84.24 Public order and safety activities"
"O84.25","84.25 Fire service activities"
"O84.3","84.3 Compulsory social security activities"
"O84.30","84.30 Compulsory social security activities"
"P85","85 Education"
"P85.1","85.1 Pre-primary education"
"P85.10","85.10 Pre-primary education"
"P85.2","85.2 Primary education"
"P85.20","85.20 Primary education"
"P85.3","85.3 Secondary education"
"P85.31","85.31 General secondary education"
"P85.32","85.32 Technical and vocational secondary education"
"P85.4","85.4 Higher education"
"P85.41","85.41 Post-secondary non-tertiary education"
"P85.42","85.42 Tertiary education"
"P85.5","85.5 Other education"
"P85.51","85.51 Sports and recreation education"
"P85.52","85.52 Cultural education"
"P85.53","85.53 Driving school activities"
"P85.59","85.59 Other education n.e.c."
"P85.6","85.6 Educational support activities"
"P85.60","85.60 Educational support activities"
"Q86","86 Human health activities"
"Q86.1","86.1 Hospital activities"
"Q86.10","86.10 Hospital activities"
"Q86.2","86.2 Medical and dental practice activities"
"Q86.21","86.21 General medical practice activities"
"Q86.22","86.22 Specialist medical practice activities"
"Q86.23","86.23 Dental practice activities"
"Q86.9","86.9 Other human health activities"
"Q86.90","86.90 Other human health activities"
"Q87","87 Residential care activities"
"Q87.1","87.1 Residential nursing care activities"
"Q87.10","87.10 Residential nursing care activities"
"Q87.2","87.2 Residential care activities for mental retardation, mental health and substance abuse"
"Q87.20","87.20 Residential care activities for mental retardation, mental health and substance abuse"
"Q87.3","87.3 Residential care activities for the elderly and disabled"
"Q87.30","87.30 Residential care activities for the elderly and disabled"
"Q87.9","87.9 Other residential care activities"
"Q87.90","87.90 Other residential care activities"
"Q88","88 Social work activities without accommodation"
"Q88.1","88.1 Social work activities without accommodation for the elderly and disabled"
"Q88.10","88.10 Social work activities without accommodation for the elderly and disabled"
"Q88.9","88.9 Other social work activities without accommodation"
"Q88.91","88.91 Child day-care activities"
"Q88.99","88.99 Other social work activities without accommodation n.e.c."
"R90","90 Creative, arts and entertainment activities"
"R90.0","90.0 Creative, arts and entertainment activities"
"R90.01","90.01 Performing arts"
"R90.02","90.02 Support activities to performing arts"
"R90.03","90.03 Artistic creation"
"R90.04","90.04 Operation of arts facilities"
"R91","91 Libraries, archives, museums and other cultural activities"
"R91.0","91.0 Libraries, archives, museums and other cultural activities"
"R91.01","91.01 Library and archives activities"
"R91.02","91.02 Museums activities"
"R91.03","91.03 Operation of historical sites and buildings and similar visitor attractions"
"R91.04","91.04 Botanical and zoological gardens and nature reserves activities"
"R92","92 Gambling and betting activities"
"R92.0","92.0 Gambling and betting activities"
"R92.00","92.00 Gambling and betting activities"
"R93","93 Sports activities and amusement and recreation activities"
"R93.1","93.1 Sports activities"
"R93.11","93.11 Operation of sports facilities"
"R93.12","93.12 Activities of sports clubs"
"R93.13","93.13 Fitness facilities"
"R93.19","93.19 Other sports activities"
"R93.2","93.2 Amusement and recreation activities"
"R93.21","93.21 Activities of amusement parks and theme parks"
"R93.29","93.29 Other amusement and recreation activities"
"S94","94 Activities of membership organisations"
"S94.1","94.1 Activities of business, employers and professional membership organisations"
"S94.11","94.11 Activities of business and employers membership organisations"
"S94.12","94.12 Activities of professional membership organisations"
"S94.2","94.2 Activities of trade unions"
"S94.20","94.20 Activities of trade unions"
"S94.9","94.9 Activities of other membership organisations"
"S94.91","94.91 Activities of religious organisations"
"S94.92","94.92 Activities of political organisations"
"S94.99","94.99 Activities of other membership organisations n.e.c."
"S95","95 Repair of computers and personal and household goods"
"S95.1","95.1 Repair of computers and communication equipment"
"S95.11","95.11 Repair of computers and peripheral equipment"
"S95.12","95.12 Repair of communication equipment"
"S95.2","95.2 Repair of personal and household goods"
"S95.21","95.21 Repair of consumer electronics"
"S95.22","95.22 Repair of household appliances and home and garden equipment"
"S95.23","95.23 Repair of footwear and leather goods"
"S95.24","95.24 Repair of furniture and home furnishings"
"S95.25","95.25 Repair of watches, clocks and jewellery"
"S95.29","95.29 Repair of other personal and household goods"
"S96","96 Other personal service activities"
"S96.0","96.0 Other personal service activities"
"S96.01","96.01 Washing and (dry-)cleaning of textile and fur products"
"S96.02","96.02 Hairdressing and other beauty treatment"
"S96.03","96.03 Funeral and related activities"
"S96.04","96.04 Physical well-being activities"
"S96.09","96.09 Other personal service activities n.e.c."
"T97","97 Activities of households as employers of domestic personnel"
"T97.0","97.0 Activities of households as employers of domestic personnel"
"T97.00","97.00 Activities of households as employers of domestic personnel"
"T98","98 Undifferentiated goods- and services-producing activities of private households for own use"
"T98.1","98.1 Undifferentiated goods-producing activities of private households for own use"
"T98.10","98.10 Undifferentiated goods-producing activities of private households for own use"
"T98.2","98.2 Undifferentiated service-producing activities of private households for own use"
"T98.20","98.20 Undifferentiated service-producing activities of private households for own use"
"U99","99 Activities of extraterritorial organisations and bodies"
"U99.0","99.0 Activities of extraterritorial organisations and bodies"
"U99.00","99.00 Activities of extraterritorial organisations and bodies"
"A","A AGRICULTURE, FORESTRY AND FISHING"
"B","B MINING AND QUARRYING"
"C","C MANUFACTURING"
"D","D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
"E","E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
"F","F CONSTRUCTION"
"G","G WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES"
"H","H TRANSPORTATION AND STORAGE"
"I","I ACCOMMODATION AND FOOD SERVICE ACTIVITIES"
"J","J INFORMATION AND COMMUNICATION"
"K","K FINANCIAL AND INSURANCE ACTIVITIES"
"L","L REAL ESTATE ACTIVITIES"
"M","M PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"N","N ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"O","O PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY"
"P","P EDUCATION"
"Q","Q HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"R","R ARTS, ENTERTAINMENT AND RECREATION"
"S","S OTHER SERVICE ACTIVITIES"
"T","T ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE"
"U","U ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES"
