PRODCOM 2021,Name,AdditionalText,URI
23701100,"Worked monumental/building stone and articles thereof, in marble, travertine and alabaster (excluding tiles, cubes/similar articles, largest surface area of which is capable of being enclosed in a square the side of which is < 7 cm, setts, kerbstones, flagstones)",Reference to HS/CN:  6802[.21 + .91],23701100
237012,Other worked ornamental or building stone and articles thereof; other artificially coloured granules and powder of natural stone; articles of agglomerated slate,,237012
23701210,"Natural stone setts, kerbstones and flagstones (excluding of slate)",Reference to HS/CN:  6801,23701210
23701230,"Tiles, cubes and similar articles of natural stone, whether or not rectangular (including square), the largest surface area of which is capable of being enclosed in a square the side of which is < 7 cm; artificially coloured granules, chippings and powder of natural stone",Reference to HS/CN:  6802 10,23701230
23701260,"Worked monumental or building stone and articles thereof, of granite (excluding tiles, cubes and similar articles, of which the largest surface area is capable of being enclosed in a square the side of which is < 7 cm, setts, kerbstones and flagstones)",Reference to HS/CN:  6802[.23 + .93(.10 + .90)],23701260
23701270,"Worked monumental or building stone and articles thereof (excluding of granite or slate, tiles; cubes and similar articles; of which the largest surface area is capable of being enclosed in a square the side of which is < 7 cm)",Reference to HS/CN:  6802[.29 + .92 + .99(.10 + .90)],23701270
23701280,Worked slate and articles of slate or of agglomerated slate,Reference to HS/CN:  6803[.00(.10 + .90)],23701280
2391,Production of abrasive products,,2391
239111,"Millstones, grindstones, grinding wheels and the like, without frameworks, for working stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics",,239111
23911110,"Millstones and grindstones, without frameworks, for milling, grinding or pulping",Reference to HS/CN:  6804 10,23911110
23911120,"Millstones, grindstones, grinding wheels and the like, without frameworks, of agglomerated synthetic or natural diamond (excluding millstones and grindstones for milling, grinding or pulping)",Reference to HS/CN:  6804 21,23911120
23911130,"Millstones, grindstones, grinding wheels and the like, without frameworks, of artificial abrasives, with binder of synthetic or artificial resin, reinforced (excluding millstones and grindstones for milling, grinding or pulping)",Reference to HS/CN:  6804 22 18,23911130
23911140,"Millstones, grindstones, grinding wheels and the like, without frameworks, of artificial abrasives, with binder of synthetic or artificial resin, non-reinforced (excluding millstones and grindstones for milling, grinding or pulping)",Reference to HS/CN:  6804 22 12,23911140
23911150,"Millstones, grindstones, grinding wheels and the like, without frameworks, of artificial abrasives, with binder of ceramics or silicates (excluding millstones and grindstones for milling, grinding or pulping)",Reference to HS/CN:  6804 22 30,23911150
23911190,"Other millstones, grindstones, grinding wheels and the like, without frameworks; hand sharpening or polishing stones",Reference to HS/CN:  6804[.22(.50 + .90) + .23 + .30],23911190
239112,"Abrasive powder or grain, on a base of textile fabric, paper or paperboard",,239112
23911230,"Natural or artificial abrasive powder or grain, on a base of woven textile fabric only",Reference to HS/CN:  6805 10,23911230
23911250,"Natural or artificial abrasive powder or grain, on a base of paper or paperboard only",Reference to HS/CN:  6805 20,23911250
23911290,"Natural or artificial abrasive powder or grain on a base (excluding on a base of woven textile only, on a base of paper or paperboard only)",Reference to HS/CN:  6805 30,23911290
2399,Manufacture of other non-metallic mineral products n.e.c.,,2399
239911,"Fabricated asbestos fibres; mixtures with a basis of asbestos and magnesium carbonate; articles of such mixtures, or of asbestos; friction material for brakes, clutches and the like, not mounted",,239911
23991100,"Fabricated asbestos fibres; mixtures with a basis of asbestos and magnesium carbonate; articles of such mixtures, or of asbestos; friction material for brakes, clutches and the like, not mounted",Reference to HS/CN:  6812[.80(.10 + .90) + .91 + .92 + .93 + .99(.10 + .90)] + 6813[.20 + .81 + .89],23991100
239912,Articles of asphalt or of similar material,,239912
23991255,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls",Reference to HS/CN:  6807 10,23991255
23991290,Products based on bitumen (excluding in rolls),Reference to HS/CN:  6807 90,23991290
239913,"Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related substances as a binder",,239913
23991310,Bituminous mixtures based on natural and artificial aggregate and bitumen or natural asphalt as a binder,Reference to HS/CN:  2715,23991310
23991320,Pre-coated aggregates,Reference to HS/CN:  2517 30,23991320
239914,Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of semi-manufactures,,239914
23991400,"Artificial graphite, colloidal, semi-colloidal graphite, and preparations",Reference to HS/CN:  3801[.10 + .20(.10 + .90) + .30 + .90],23991400
239915,Artificial corundum,,239915
23991500,Artificial corundum (excluding mechanical mixtures),Reference to HS/CN:  2818[.10(.11 + .19 + .91 + .99)],23991500
239919,Non-metallic mineral products n.e.c.,,239919
23991910,"Slag wool, rock wool and similar mineral wools (excluding glass wool) and mixtures thereof, in bulk, sheets or rolls",Reference to HS/CN:  6806 10,23991910
23991920,"Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials and mixtures thereof",Reference to HS/CN:  6806[.20(.10 + .90)],23991920
23991930,Mixtures and articles of heat/sound-insulating materials n.e.c.,Reference to HS/CN:  6806 90,23991930
23991940,Calcined kaolin,Reference to HS/CN:  2507 00 20b,23991940
23991950,Worked mica and articles of mica,Reference to HS/CN:  6814[.10 + .90],23991950
23991970,Non-electrical articles of graphite or other carbon,Reference to HS/CN:  6815[.10(.10 + .90)],23991970
23991980,"Articles of peat (including sheets, cylinder shells and plant pots) (excluding textile articles of peat fibre)",Reference to HS/CN:  6815 20,23991980
23991990,"Articles of stone or other mineral substances, n.e.c.",Reference to HS/CN:  6815 99,23991990
2410,Manufacture of basic iron and steel and of ferro-alloys,,2410
241011,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",,241011
24101100,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Reference to HS/CN:  7201[.10(.11 + .19 + .30 + .90) + .20 + .50(.10 + .90)],24101100
241012,Ferro-alloys,,241012
24101210,"Ferro-manganese, containing by weight > 2% carbon, with a granulometry <= 5 mm and a manganese content by weight > 65%",Reference to HS/CN:  7202 11 20,24101210
24101220,"Other ferro-manganese, containing by weight > 2% carbon (excl. ferro-manganese with a granulometry of <= 5 mm and containing by weight > 65% manganese)",Reference to HS/CN:  7202 11 80,24101220
24101225,Other ferro-manganese containing by weight less or equal than 2 % of carbon,Reference to HS/CN:  7202 19,24101225
24101235,"Ferro-silicon, containing by weight > 55% of silicon",Reference to HS/CN:  7202 21,24101235
24101236,"Ferro-silicon, containing by weight <= 55% silicon and >= 4% but <= 10% of magnesium",Reference to HS/CN:  7202 29 10,24101236
24101239,"Other ferro-silicon, containing by weight <= 55% silicon (excl. that containing by weight >= 4% but <= 10% of magnesium)",Reference to HS/CN:  7202 29 90,24101239
24101240,Ferro-nickel,Reference to HS/CN:  7202 60,24101240
24101245,Ferro-silico-manganese,Reference to HS/CN:  7202 30,24101245
24101250,Ferro-tungsten and ferro-silico-tungsten,Reference to HS/CN:  7202 80,24101250
24101255,Ferro-titanium and ferro-silico-titanium,Reference to HS/CN:  7202 91,24101255
24101260,Ferro-chromium,Reference to HS/CN:  7202[.41(.10 + .90) + .49(.10 + .50 + .90)],24101260
24101265,Ferro-vanadium,Reference to HS/CN:  7202 92,24101265
24101270,Ferro-niobium,Reference to HS/CN:  7202 93,24101270
24101275,Ferro-molybdenum,Reference to HS/CN:  7202 70,24101275
24101280,Ferro-phosphorus,Reference to HS/CN:  7202 99 10,24101280
24101285,Ferro-silico-magnesium,Reference to HS/CN:  7202 99 30,24101285
24101295,Other ferro alloys nowhere else specified or included,Reference to HS/CN:  7202[.50 + .99(.80)],24101295
241013,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",,241013
24101300,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94  %, in lumps, pellets or similar forms",Reference to HS/CN:  7203[.10 + .90],24101300
241014,"Granules and powders, of pig iron and spiegeleisen, or steel",,241014
24101410,"Granules and powders, of pig iron, spiegeleisen, iron or steel",Reference to HS/CN:  7205[.10 + .21 + .29],24101410
24101420,"Remelting scrap ingots of iron or steel (excluding products whose chemical composition conforms to the definitions of pig iron, spiegeleisen, or ferro-alloys)",Reference to HS/CN:  7204 50,24101420
241021,Non alloy steel in ingots or other primary forms and semi-finished products of non alloy steel,,241021
24102110,Flat semi-finished products (of non-alloy steel),Reference to HS/CN:  7207[.12(.10 + .90) + .20(.32 + .39)],24102110
24102121,"Ingots, other primary forms and long semi-finished products for seamless tubes (of non-alloy steel)",Reference to HS/CN:  7206 10 + 7207[.11(.11a + .14a + .16a) + .19(.12a) + .20(.11a + .15a + .17a + .52a)],24102121
24102122,"Other ingots, primary forms and long semi-finished products including blanks (of non-alloy steel)",Reference to HS/CN:  7206 90 + 7207[.11(.11b + .14b + .16b + .90) + .19(.12b + .19 + .80) + .20(.11b + .15b + .17b + .19 + .52b + .59 + .80)],24102122
241021Z0,"Ingots, other primary forms and long semi-finished products, of non-alloy steel",Reference to HS/CN:  7206[.10 + .90] + 7207[.11(.11 + .14 + .16 + .90) + .19(.12 + .19 + .80) + .20(.11 + .15 + .17 + .19 + .52 + .59 + .80)],241021Z0
241022,Stainless steel in ingots or other primary forms and semi-finished products of stainless steel,,241022
24102210,Flat semi-finished products (slabs) (of stainless steel),Reference to HS/CN:  7218[.91(.10 + .80)],24102210
24102221,"Ingots, other primary forms and long semi-finished products for seamless tubes (of stainless steel)",Reference to HS/CN:  7218[.10(.00a) + .99(.11a + .20a)],24102221
24102222,"Other ingots, primary forms and long semi-finished products (of stainless steel)",Reference to HS/CN:  7218[.10(.00b) + .99(.11b + .19 + .20b + .80)],24102222
241022Z0,"Ingots, other primary forms and long semi-finished products, of stainless steel",Reference to HS/CN:  7218[.10 + .99(.11 + .19 + .20 + .80)],241022Z0
241023,Other alloy steel in ingots or other primary forms and semi-finished products of other alloy steel,,241023
24102310,Flat semi-finished products (of alloy steel other than of stainless steel),Reference to HS/CN:  7224 90 14,24102310
24102321,"Ingots, other primary forms and long semi-finished products for seamless tubes (of alloy steel other than of stainless steel)",Reference to HS/CN:  7224[.10(.10a + .90a) + .90(.02a + .03a + .05a + .07a + .31a + .38a)],24102321
24102322,"Other ingots, primary forms and long semi-finished products (of alloy steel other than of stainless steel)",Reference to HS/CN:  7224[.10(.10b + .90b) + .90(.02b + .03b + .05b + .07b + .18 + .31b + .38b + .90)],24102322
241023Z0,"Ingots, other primary forms and long semi-finished products, of alloy steel other than stainless steel",Reference to HS/CN:  7224[.10(.10 + .90) + .90(.02 + .03 + .05 + .07 + .18 + .31 + .38 + .90)],241023Z0
241031,"Flat rolled products of non alloy steel, not further worked than hot rolled, of a width of ≥ 600 mm",,241031
24103110,"Flat-rolled products of iron or non-alloy steel, of a width ≥ 600 mm, simply hot-rolled, not clad, plated or coated, in coils",Reference to HS/CN:  7208[.10 + .25 + .26 + .27 + .36 + .37 + .38 + .39],24103110
24103130,"Flat-rolled products of iron or non-alloy steel, of a width ≥ 600 mm, not in coils, simply hot-rolled, not clad, plated or coated, with patterns in relief directly due to the rolling process and products of a thickness < 4,75 mm, without patterns in relief (excluding rolled on four faces or in a closed bow pass of a width ≤ 1 250 mm and of a thickness of ≥ 4 mm)",Reference to HS/CN:  7208[.40 + .53(.90) + .54],24103130
24103150,"Flat-rolled products, of iron or non-alloy steel, of a width ≥ 600 mm (excluding ‘wide flats’), not in coils, simply hot-rolled, not clad, plated or coated, without patterns in relief; flat-rolled products of iron or steel, of a width ≥ 600 mm, hot-rolled and further worked, but not clad, plated or coated",Reference to HS/CN:  7208[.51(.20 + .91 + .98) + .52(.10 + .91 + .99) + .53(.10) + .90(.20 + .80)],24103150
241032,"Flat rolled products of non alloy steel, not further worked than hot rolled, of a width of < 600 mm",,241032
24103210,"Flat-rolled products of iron or non-alloy steel, simply hot-rolled on four faces or in a closed box pass, not clad, plated or coated, of a width of > 150 mm but < 600 mm and a thickness of ≥ 4 mm, not in coils, without patterns in relief, commonly known as ‘wide flats’",Reference to HS/CN:  7211 13,24103210
24103230,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, simply hot-rolled, not clad, plated or coated (excluding ‘wide flats’)",Reference to HS/CN:  7211[.14 + .19],24103230
241033,"Flat rolled products of stainless steel, not further worked than hot rolled, of a width ≥ 600 mm",,241033
24103310,"Hot-rolled flat products in coil for rerolling of a width of 600 mm or more, of stainless steel",Reference to HS/CN:  7219[.11(.00a) + .12(.10a + .90a) + .13(.10a + .90a) + .14(.10a + .90a)],24103310
24103320,"Other hot-rolled flat products in coil of a width of 600 mm or more, of stainless steel",Reference to HS/CN:  7219[.11(.00b) + .12(.10b + .90b) + .13(.10b + .90b) + .14(.10b + .90b)],24103320
24103330,"Plates and sheets produced by cutting from hot-rolled wide strip of a width of 600 mm or more, of stainless steel",Reference to HS/CN:  7219[.22(.10 + .90) + .23 + .24],24103330
24103340,"Plates and sheets produced on a reversing mill (quarto) of a width of 600 mm or more and wide flats, of stainless steel",Reference to HS/CN:  7219[.21(.10 + .90)],24103340
241033Z0,"Hot-rolled flat products in coil of a width ≥ 600 mm, of stainless steel",Reference to HS/CN:  7219[.11 + .12(.10 + .90) + .13(.10 + .90) + .14(.10 + .90)],241033Z0
241034,"Flat rolled products of stainless steel, not further worked than hot rolled, of a width of < 600 mm",,241034
24103410,"Hot-rolled flat products in coil for rerolling of a width of less than 600 mm, of stainless steel",Reference to HS/CN:  7220[.11(.00a) + .12(.00a)],24103410
24103420,"Other hot-rolled flat products in coil of a width of less than 600 mm, of stainless steel",Reference to HS/CN:  7220[.11(.00b) + .12(.00b)],24103420
241034Z0,"Hot-rolled flat products in coil of a width < 600 mm, of stainless steel",Reference to HS/CN:  7220[.11 + .12],241034Z0
241035,"Flat rolled products of other alloy steel, not further worked than hot rolled, of a width of ≥ 600 mm",,241035
24103510,"Flat-rolled products, of tool steel or alloy steel other than stainless steel, of a width ≥ 600 mm, not further worked than hot-rolled, in coils (excluding products of high-speed or silicon-electrical steel)",Reference to HS/CN:  7225[.30(.10 + .90)],24103510
24103520,"Flat-rolled products of high-speed steel, of a width ≥ 600 mm, hot-rolled or cold-rolled ‘cold-reduced’",Reference to HS/CN:  7225[.30(.30) + .40(.15) + .50(.20)],24103520
24103530,"Flat-rolled products, of tool steel or alloy steel other than stainless steel, of a width ≥ 600 mm, not further worked than hot-rolled, not in coils (excluding organic coated products, products of a thickness < 4,75 mm and products of high-speed or silicon-electrical steel)",Reference to HS/CN:  7225[.40(.12 + .40 + .60)],24103530
24103540,"Flat-rolled products of alloy steel other than stainless, of a width ≥ 600 mm, not further worked than hot-rolled, not in coils, of a thickness of < 4,75 mm (excluding products of tool steel, high-speed steel or silicon-electrical steel)",Reference to HS/CN:  7225 40 90,24103540
24103550,"Flat-rolled products of alloy steel other than stainless, of a width ≥ 600 mm, hot-rolled or cold-rolled ‘cold-reduced’ and further worked (excluding plated or coated with zinc and products of silicon-electrical steel)",Reference to HS/CN:  7225 99,24103550
241036,"Flat rolled products of other alloy steel, not further worked than hot rolled, of a width of < 600 mm (except products of silicon-electrical steel)",,241036
24103600,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than hot-rolled (excluding products of high-speed steel or silicon-electrical steel)",Reference to HS/CN:  7226[.91(.20 + .91 + .99)],24103600
241041,"Flat rolled products of non alloy steel, not further worked than cold rolled, of a width of ≥ 600 mm",,241041
24104110,"Uncoated cold-rolled sheet, plate and strip of a width ≥ 600 mm, of steel other than stainless steel",Reference to HS/CN:  7209[.15 + .16(.90a) + .17(.90a) + .18(.91a + .99a) + .25 + .26(.90a) + .27(.90a) + .28(.90a) + .90(.20a + .80a)],24104110
24104130,Electrical sheet and strip not finally annealed of a width of 600 mm or more,Reference to HS/CN:  7209[.16(.90b) + .17(.90b) + .18(.91b + .99b) + .26(.90b) + .27(.90b) + .28(.90b) + .90(.20b + .80b)],24104130
24104150,"Electrical sheet and strip, grain non-oriented of a width ≥ 600 mm",Reference to HS/CN:  7209[.16(.10) + .17(.10) + .18(.10) + .26(.10) + .27(.10) + .28(.10)],24104150
241041Z0,"Uncoated cold-rolled sheet, plate and strip (including electrical sheet and strip not finally annealed), of a width ≥ 600 mm, of steel other than stainless steel",Reference to HS/CN:  7209[.15 + .16(.90) + .17(.90) + .18(.91 + .99) + .25 + .26(.90) + .27(.90) + .28(.90) + .90(.20 + .80)],241041Z0
241042,"Flat rolled products of stainless steel, not further worked than cold rolled, of a width of ≥ 600 mm",,241042
24104200,"Cold-rolled sheet, plate and wide strip of a width of 600 mm or more (of stainless steel)",Reference to HS/CN:  7219[.31 + .32(.10 + .90) + .33(.10 + .90) + .34(.10 + .90) + .35(.10 + .90) + .90(.20 + .80)],24104200
241043,"Flat rolled products of other-alloy steel, not further worked than cold rolled, of a width of ≥ 600 mm",,241043
24104300,"Flat-rolled products of alloy steel other than stainless, of a width of ≥ 600 mm, simply cold-rolled (excluding products of high-speed steel or silicon-electrical steel)",Reference to HS/CN:  7225 50 80,24104300
241051,"Flat rolled products of non alloy steel, of a width of ≥ 600 mm, clad, plated or coated",,241051
24105110,"Tinplate, other tinned sheet and strip, including electrolytically chromium coated steel (ECCS)",Reference to HS/CN:  7210[.11 + .12(.20 + .80) + .50 + .70(.10) + .90(.40)] + 7212 10 10,24105110
24105120,"Flat-rolled products of iron or non-alloy steel, of a width ≥ 600 mm, electrolytically plated or coated with zinc",Reference to HS/CN:  7210 30,24105120
24105130,Hot-dipped metal coated sheet and strip of a width ≥ 600 mm,Reference to HS/CN:  7210[.20 + .41 + .49 + .61 + .69 + .90(.80)],24105130
24105140,Organic coated sheet of a width ≥ 600 mm,Reference to HS/CN:  7210 70 80,24105140
24105150,"Flat-rolled products of iron or non-alloy steel, of a width ≥ 600 mm, clad",Reference to HS/CN:  7210 90 30,24105150
241052,"Flat rolled products of other alloy steel, of a width of ≥ 600 mm, clad, plated or coated",,241052
24105210,"Flat-rolled products of alloy steel other than stainless, of a width ≥ 600 mm, hot-rolled or cold-rolled ‘cold-reduced’ and electrolytically plated or coated with zinc (excluding products of silicon-electrical steel)",Reference to HS/CN:  7225 91,24105210
24105230,"Flat-rolled products of alloy steel other than stainless, of a width ≥ 600 mm, hot-rolled or cold-rolled ‘cold-reduced’ and plated or coated with zinc (excluding products electrolytically plated or coated and products of silicon-electrical steel)",Reference to HS/CN:  7225 92,24105230
241053,"Flat rolled products of silicon-electrical steel, of a width of ≥ 600 mm",,241053
24105310,"Electrical sheet and strip, grain oriented of a width of 600 mm or more",Reference to HS/CN:  7225 11,24105310
24105330,"Flat-rolled products of silicon-electrical steel, of a width ≥ 600 mm, non-grain-oriented",Reference to HS/CN:  7225[.19(.10 + .90)],24105330
241054,"Flat rolled products of silicon-electrical steel, of a width of < 600 mm",,241054
24105410,"Electrical cold-rolled slit strip, grain oriented, in silicon-alloy steel, of a width of < 600 mm",Reference to HS/CN:  7226 11,24105410
24105430,"Flat-rolled products of silicon-electrical steel, of a width < 600 mm, non-grain-oriented",Reference to HS/CN:  7226[.19(.10 + .80)],24105430
241055,"Flat rolled products of high speed steel, of a width of < 600 mm",,241055
24105500,"Flat rolled products of high speed steel, of a width < 600 mm",Reference to HS/CN:  7226 20,24105500
241061,"Bars and rods, hot rolled, in irregularly wound coils, of non alloy steel",,241061
24106110,Ribbed or other deformed wire rod (of non-alloy steel),Reference to HS/CN:  7213 10,24106110
24106120,Wire rod of free-cutting steel,Reference to HS/CN:  7213 20,24106120
24106130,Wire rod used for concrete reinforcing (mesh/cold ribbed bars),Reference to HS/CN:  7213 91 10,24106130
24106140,Wire rod for tyre cord,Reference to HS/CN:  7213 91 20,24106140
24106190,Other wire rod (of non-alloy steel),Reference to HS/CN:  7213[.91(.41 + .49 + .70 + .90) + .99(.10 + .90)],24106190
241062,"Other bars and rods of steel, not further worked than forged, hot rolled, hot-drawn or extruded, but including those twisted after rolling",,241062
24106210,Hot-rolled concrete reinforcing bars,Reference to HS/CN:  7214[.20 + .99(.10)],24106210
24106230,Hot-rolled bars in free-cutting steels,Reference to HS/CN:  7214 30,24106230
24106250,Forged bars of steel and hot-rolled bars (excluding hollow drill bars and rods) of non-alloy steel (of other than of free-cutting steel),Reference to HS/CN:  7214[.10 + .91(.10 + .90) + .99(.31 + .39 + .50 + .71 + .79 + .95)],24106250
241063,"Bars and rods, hot rolled, in irregularly wound coils, of stainless steel",,241063
24106300,"Hot-rolled wire rod in coil, of stainless steel",Reference to HS/CN:  7221[.00(.10 + .90)],24106300
241064,"Other bars and rods of stainless steel, not further worked than forged, hot rolled, hot-drawn or extruded, but including those twisted after rolling",,241064
24106410,"Hot-rolled round bars, of stainless steel",Reference to HS/CN:  7222[.11(.11 + .19 + .81 + .89)],24106410
24106430,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excluding of circular cross-section)",Reference to HS/CN:  7222[.19(.10 + .90)],24106430
24106450,"Forged bars, of stainless steel",Reference to HS/CN:  7222[.30(.51 + .91)],24106450
24106470,"Bars and rods of stainless steel, cold-formed or cold-finished and further worked, or hot-formed and further worked, n.e.s. (excluding forged products)",Reference to HS/CN:  7222 30 97,24106470
241065,"Bars and rods, hot rolled, in irregularly wound coils, of other alloy steel",,241065
24106510,"Bars and rods of high-speed steel, hot-rolled, in irregularly wound coils",Reference to HS/CN:  7227 10,24106510
24106530,"Bars and rods of silico-manganese steel, hot-rolled, in irregularly wound coils",Reference to HS/CN:  7227 20,24106530
24106550,"Hot-rolled wire rod, of bearing steel",Reference to HS/CN:  7227 90 50,24106550
24106570,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils (excluding products of bearing steel, high-speed steel or silico-manganese steel)",Reference to HS/CN:  7227[.90(.10 + .95)],24106570
241066,"Other bars and rods of other alloy steel, not further worked than forged, hot rolled, hot-drawn or extruded, but including those twisted after rolling",,241066
24106610,Hot-rolled bars of high speed steel,Reference to HS/CN:  7228[.10(.20 + .50)],24106610
24106620,Hot-rolled bars of silico-manganese steel,Reference to HS/CN:  7228[.20(.10 + .91)],24106620
24106630,Hot-rolled bars in bearing steels,Reference to HS/CN:  7228[.30(.41 + .49)],24106630
24106640,Hot-rolled bars in tool steels,Reference to HS/CN:  7228[.30(.20) + .40(.10)],24106640
24106650,"Hot-rolled bars (excluding hollow drill bars and rods) of alloy steel (other than of stainless, tool, silico-manganese, bearing and high speed steel)",Reference to HS/CN:  7228[.30(.61 + .69 + .70 + .89) + .40(.90) + .60(.20)],24106650
24106660,"Bars and rods, of alloy steel, cold-formed or cold-finished (e.g. by cold-drawing), painted, coated, clad or further worked (excluding stainless steel)",Reference to HS/CN:  7228 60 80,24106660
241067,Hollow drill bars and rods,,241067
24106700,Hollow drill bars and rods,Reference to HS/CN:  7228 80,24106700
241071,"Open sections, not further worked than hot rolled, hot-drawn or extruded, of non alloy steel",,241071
24107110,U-sections of a web height of 80 mm or more (of non-alloy steel),Reference to HS/CN:  7216[.31(.10 + .90)],24107110
24107120,I-sections of a web height of 80 mm or more (of non-alloy steel),Reference to HS/CN:  7216[.32(.11 + .19 + .91 + .99)],24107120
24107130,H-sections of a web height of 80 mm or more (of non-alloy steel),Reference to HS/CN:  7216[.33(.10 + .90)],24107130
24107140,"Other open sections, not further worked than hot-rolled, hot-drawn or extruded, of non-alloy steel",Reference to HS/CN:  7216[.10 + .21 + .22 + .40(.10 + .90) + .50(.10 + .91 + .99)],24107140
241072,"Open sections, not further worked than hot rolled, hot-drawn or extruded, of stainless steel",,241072
24107200,"Open sections, not further worked than hot-rolled, hot-drawn or extruded, of stainless steel",Reference to HS/CN:  7222[.40(.10 + .90)],24107200
241073,"Open sections, not further worked than hot rolled, hot-drawn or extruded, of other alloy steel",,241073
24107300,"Open sections, not further worked than hot-rolled, hot-drawn or extruded, of other alloy steel",Reference to HS/CN:  7228 70 10,24107300
241074,"Sheet piling, of steel and welded open sections of steel",,241074
24107410,Sheet piling (of steel),Reference to HS/CN:  7301 10,24107410
24107420,Welded and cold-formed sections (of steel),Reference to HS/CN:  7301 20,24107420
241075,Railway or tramway track construction material of steel,,241075
24107500,Railway material (of steel),Reference to HS/CN:  7302[.10(.10 + .22 + .28 + .40 + .50 + .90) + .30 + .40 + .90],24107500
2410T110,Pig iron,,2410T110
2410T121,Crude steel: non-alloy steel produced in electric furnaces,,2410T121
2410T122,Crude steel: non-alloy steel produced by other processes than in electric furnaces,,2410T122
2410T131,Crude steel: alloy steel other than stainless steel produced in electric furnaces,,2410T131
2410T132,Crude steel: alloy steel other than stainless steel produced by other processes than in electric furnaces,,2410T132
2410T141,Crude steel: stainless and heat resisting steel produced in electric furnaces,,2410T141
2410T142,Crude steel: stainless and heat resisting steel produced by other processes than in electric furnaces,,2410T142
2410T211,Hot-rolled flat products in coil (wide strip) of a width of 600 mm or more,,2410T211
2410T212,Hot-rolled flat products in coil of a width less than 600 mm,,2410T212
2410T221,Plate and sheet rolled in lengths in wide strip mills,,2410T221
2410T222,"Plate, sheet and wide flat, hot-rolled in mills other than wide strip mills",Reference to HS/CN:  7208[.51(.20 + .91 + .98) + .52(.10 + .91 + .99) + .53(.10 + .90) + .90(.20 + .80)] + 7210 90 30 + 7211 13 + 7219[.21(.10 + .90)] + 7225[.40(.12 + .40 + .60) + .99],2410T222
2410T231,Hot-rolled wire rod,Reference to HS/CN:  7213[.10 + .20 + .91(.10 + .20 + .41 + .49 + .70 + .90) + .99(.10 + .90)] + 7221[.00(.10 + .90)] + 7227[.20 + .90(.10 + .95)],2410T231
2410T241,Concrete reinforcing bars,Reference to HS/CN:  7214[.20 + .99(.10)],2410T241
2410T242,Other hot-rolled bars,Reference to HS/CN:  7214[.10 + .30 + .91(.10 + .90) + .99(.31 + .39 + .50 + .71 + .79 + .95)] + 7222[.11(.11 + .19 + .81 + .89) + .19(.10)] + 7228[.20(.10 + .91) + .30(.20 + .41 + .49 + .61 + .69 + .70 + .89) + .40(.10 + .90) + .60(.20) + .80],2410T242
2410T243,Hot-rolled and forged light sections of a web height of less than 80 mm and angles,Reference to HS/CN:  7216[.10 + .21 + .22 + .40(.10 + .90) + .50(.10 + .91 + .99) + .99] + 7222 40 10 + 7228 70 10,2410T243
2410T244,Heavy sections,Reference to HS/CN:  7216[.31(.10 + .90) + .32(.11 + .19 + .91 + .99) + .33(.10 + .90)],2410T244
2410T251,Sheet piling,Reference to HS/CN:  7301 10,2410T251
2410T252,Railway material,Reference to HS/CN:  7302[.10(.10 + .22 + .28 + .40 + .50 + .90) + .30 + .40 + .90],2410T252
2410T260,Welded sections,Reference to HS/CN:  7301 20,2410T260
2410T310,"Cold-rolled sheet, plate and strip and blackplate, ≥ 600 mm wide",Reference to HS/CN:  7209[.15 + .16(.90c) + .17(.90c) + .18(.91c + .99c) + .25(.00b) + .26(.90c) + .27(.90c) + .28(.90c) + .90(.20c + .80c)] + 7219[.31 + .32(.10 + .90) + .33(.10 + .90) + .34(.10 + .90) + .35(.10 + .90) + .90(.20 + .80)] + 7225[.50(.20 + .80)],2410T310
2410T320,Electrical sheet and strip,Reference to HS/CN:  7209[.16(.10 + .90d) + .17(.10 + .90d) + .18(.10 + .91d + .99d) + .26(.10 + .90d) + .27(.10 + .90d) + .28(.10 + .90d) + .90(.20d + .80d)] + 7225[.11 + .19(.90)],2410T320
2410T330,"Tinplate, other tinned sheet and electrically chromium-coated steel (ECCS)",Reference to HS/CN:  7210[.11 + .12(.20 + .80) + .50 + .70(.10) + .90(.40)] + 7212[.10(.10) + .40(.20)],2410T330
2410T340,Hot-dipped metal-coated sheet,Reference to HS/CN:  7210[.20 + .41 + .49 + .61 + .69 + .90(.80)] + 7225 92,2410T340
2410T350,Electrolytically metal-coated sheet,Reference to HS/CN:  7210 30 + 7225 91,2410T350
2410T360,Organic-coated sheet,Reference to HS/CN:  7210 70 80,2410T360
