NAICS 2017,NAICS 2022,2017 NAICS Title,2022 NAICS Title,Change Indicator
72131,72131,"Rooming and Boarding Houses, Dormitories, and Workers' CampsT","Rooming and Boarding Houses, Dormitories, and Workers' CampsT",
721310,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps","Rooming and Boarding Houses, Dormitories, and Workers' Camps",
42333,42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Roofing, Siding, and Insulation Material Merchant Wholesalers",
423330,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Roofing, Siding, and Insulation Material Merchant Wholesalers",
23816,23816,Roofing Contractors,Roofing Contractors,
238160,238160,Roofing Contractors,Roofing Contractors,
333519,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,Rolling Mill and Other Metalworking Machinery Manufacturing,
33122,33122,Rolling and Drawing of Purchased SteelT,Rolling and Drawing of Purchased SteelT,
331221,331221,Rolled Steel Shape Manufacturing,Rolled Steel Shape Manufacturing,
311911,311911,Roasted Nuts and Peanut Butter Manufacturing,Roasted Nuts and Peanut Butter Manufacturing,
311212,311212,Rice Milling,Rice Milling,
11116,11116,Rice FarmingT,Rice FarmingT,
111160,111160,Rice Farming,Rice Farming,
81142,81142,Reupholstery and Furniture RepairT,Reupholstery and Furniture RepairT,
811420,811420,Reupholstery and Furniture Repair,Reupholstery and Furniture Repair,
44-45,44-45,Retail TradeT,Retail TradeT,
311811,311811,Retail Bakeries,Retail Bakeries,
7225,7225,Restaurants and Other Eating PlacesT,Restaurants and Other Eating PlacesT,
72251,72251,Restaurants and Other Eating PlacesT,Restaurants and Other Eating PlacesT,
3252,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments ManufacturingT","Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments ManufacturingT",
32521,32521,Resin and Synthetic Rubber ManufacturingT,Resin and Synthetic Rubber ManufacturingT,
236118,236118,Residential Remodelers,Residential Remodelers,
531311,531311,Residential Property Managers,Residential Property Managers,
62322,62322,Residential Mental Health and Substance Abuse FacilitiesT,Residential Mental Health and Substance Abuse FacilitiesT,
623220,623220,Residential Mental Health and Substance Abuse Facilities,Residential Mental Health and Substance Abuse Facilities,
6232,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse FacilitiesT","Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse FacilitiesT",
62321,62321,Residential Intellectual and Developmental Disability FacilitiesT,Residential Intellectual and Developmental Disability FacilitiesT,
623210,623210,Residential Intellectual and Developmental Disability Facilities,Residential Intellectual and Developmental Disability Facilities,
2361,2361,Residential Building ConstructionT,Residential Building ConstructionT,
23611,23611,Residential Building ConstructionT,Residential Building ConstructionT,
54172,54172,Research and Development in the Social Sciences and HumanitiesT,Research and Development in the Social Sciences and HumanitiesT,
541720,541720,Research and Development in the Social Sciences and Humanities,Research and Development in the Social Sciences and Humanities,
54171,54171,"Research and Development in the Physical, Engineering, and Life SciencesT","Research and Development in the Physical, Engineering, and Life SciencesT",
541715,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)","Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
541713,541713,Research and Development in Nanotechnology,Research and Development in Nanotechnology,
541714,541714,Research and Development in Biotechnology (except Nanobiotechnology),Research and Development in Biotechnology (except Nanobiotechnology),
561491,561491,Repossession Services,Repossession Services,
811,811,Repair and MaintenanceT,Repair and MaintenanceT,
532,532,Rental and Leasing ServicesT,Rental and Leasing ServicesT,
311613,311613,Rendering and Meat Byproduct Processing,Rendering and Meat Byproduct Processing,
56291,56291,Remediation Services,Remediation Services,
562910,562910,Remediation Services,Remediation Services,
5629,5629,Remediation and Other Waste Management Services,Remediation and Other Waste Management Services,
813,813,"Religious, Grantmaking, Civic, Professional, and Similar OrganizationsT","Religious, Grantmaking, Civic, Professional, and Similar OrganizationsT",
8131,8131,Religious Organizations,Religious Organizations,
81311,81311,Religious Organizations,Religious Organizations,
813110,813110,Religious Organizations,Religious Organizations,
335314,335314,Relay and Industrial Control Manufacturing,Relay and Industrial Control Manufacturing,
52413,52413,Reinsurance Carriers,Reinsurance Carriers,
524130,524130,Reinsurance Carriers,Reinsurance Carriers,
92615,92615,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors","Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",
926150,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors","Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",
92614,92614,Regulation of Agricultural Marketing and Commodities,Regulation of Agricultural Marketing and Commodities,
926140,926140,Regulation of Agricultural Marketing and Commodities,Regulation of Agricultural Marketing and Commodities,
92612,92612,Regulation and Administration of Transportation Programs,Regulation and Administration of Transportation Programs,
926120,926120,Regulation and Administration of Transportation Programs,Regulation and Administration of Transportation Programs,
92613,92613,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities","Regulation and Administration of Communications, Electric, Gas, and Other Utilities",
926130,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities","Regulation and Administration of Communications, Electric, Gas, and Other Utilities",
42374,42374,Refrigeration Equipment and Supplies Merchant Wholesalers,Refrigeration Equipment and Supplies Merchant Wholesalers,
423740,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,Refrigeration Equipment and Supplies Merchant Wholesalers,
49312,49312,Refrigerated Warehousing and StorageT,Refrigerated Warehousing and StorageT,
493120,493120,Refrigerated Warehousing and Storage,Refrigerated Warehousing and Storage,
42393,42393,Recyclable Material Merchant Wholesalers,Recyclable Material Merchant Wholesalers,
423930,423930,Recyclable Material Merchant Wholesalers,Recyclable Material Merchant Wholesalers,
44121,44121,Recreational Vehicle Dealers,Recreational Vehicle Dealers,
441210,441210,Recreational Vehicle Dealers,Recreational Vehicle Dealers,
532284,532284,Recreational Goods Rental,Recreational Goods Rental,
721214,721214,Recreational and Vacation Camps (except Campgrounds),Recreational and Vacation Camps (except Campgrounds),
51225,51225,Record Production and DistributionT,Record Production and DistributionT,
512250,512250,Record Production and Distribution,Record Production and Distribution,
321219,321219,Reconstituted Wood Product Manufacturing,Reconstituted Wood Product Manufacturing,
531,531,Real EstateT,Real EstateT,
53131,53131,Real Estate Property Managers,Real Estate Property Managers,
522292,522292,Real Estate Credit,Real Estate Credit,
53,53,Real Estate and Rental and LeasingT,Real Estate and Rental and LeasingT,
32732,32732,Ready-Mix Concrete ManufacturingT,Ready-Mix Concrete ManufacturingT,
327320,327320,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing,
3365,3365,Railroad Rolling Stock ManufacturingT,Railroad Rolling Stock ManufacturingT,
33651,33651,Railroad Rolling Stock ManufacturingT,Railroad Rolling Stock ManufacturingT,
336510,336510,Railroad Rolling Stock Manufacturing,Railroad Rolling Stock Manufacturing,
482,482,Rail TransportationT,Rail TransportationT,
4821,4821,Rail TransportationT,Rail TransportationT,
48211,48211,Rail TransportationT,Rail TransportationT,
33422,33422,Radio and Television Broadcasting and Wireless Communications Equipment ManufacturingT,Radio and Television Broadcasting and Wireless Communications Equipment ManufacturingT,
334220,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,
711212,711212,Racetracks,Racetracks,
33391,33391,Pump and Compressor ManufacturingT,Pump and Compressor ManufacturingT,
3221,3221,"Pulp, Paper, and Paperboard MillsT","Pulp, Paper, and Paperboard MillsT",
32211,32211,Pulp MillsT,Pulp MillsT,
322110,322110,Pulp Mills,Pulp Mills,
54182,54182,Public Relations AgenciesT,Public Relations AgenciesT,
541820,541820,Public Relations Agencies,Public Relations Agencies,
92113,92113,Public Finance Activities,Public Finance Activities,
921130,921130,Public Finance Activities,Public Finance Activities,
92,92,Public AdministrationT,Public AdministrationT,
6222,6222,Psychiatric and Substance Abuse HospitalsT,Psychiatric and Substance Abuse HospitalsT,
62221,62221,Psychiatric and Substance Abuse HospitalsT,Psychiatric and Substance Abuse HospitalsT,
622210,622210,Psychiatric and Substance Abuse Hospitals,Psychiatric and Substance Abuse Hospitals,
7113,7113,"Promoters of Performing Arts, Sports, and Similar EventsT","Promoters of Performing Arts, Sports, and Similar EventsT",
71132,71132,"Promoters of Performing Arts, Sports, and Similar Events without FacilitiesT","Promoters of Performing Arts, Sports, and Similar Events without FacilitiesT",
711320,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities","Promoters of Performing Arts, Sports, and Similar Events without Facilities",
71131,71131,"Promoters of Performing Arts, Sports, and Similar Events with FacilitiesT","Promoters of Performing Arts, Sports, and Similar Events with FacilitiesT",
711310,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Promoters of Performing Arts, Sports, and Similar Events with Facilities",
54,54,"Professional, Scientific, and Technical ServicesT","Professional, Scientific, and Technical ServicesT",
541,541,"Professional, Scientific, and Technical ServicesT","Professional, Scientific, and Technical ServicesT",
81392,81392,Professional Organizations,Professional Organizations,
813920,813920,Professional Organizations,Professional Organizations,
56133,56133,Professional Employer OrganizationsT,Professional Employer OrganizationsT,
561330,561330,Professional Employer Organizations,Professional Employer Organizations,
61143,61143,Professional and Management Development TrainingT,Professional and Management Development TrainingT,
611430,611430,Professional and Management Development Training,Professional and Management Development Training,
4234,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,Professional and Commercial Equipment and Supplies Merchant Wholesalers,
541614,541614,"Process, Physical Distribution, and Logistics Consulting Services","Process, Physical Distribution, and Logistics Consulting Services",
561431,561431,Private Mail Centers,Private Mail Centers,
814,814,Private HouseholdsT,Private HouseholdsT,
8141,8141,Private HouseholdsT,Private HouseholdsT,
81411,81411,Private HouseholdsT,Private HouseholdsT,
814110,814110,Private Households,Private Households,
32311,32311,PrintingT,PrintingT,
32591,32591,Printing Ink ManufacturingT,Printing Ink ManufacturingT,
325910,325910,Printing Ink Manufacturing,Printing Ink Manufacturing,
42411,42411,Printing and Writing Paper Merchant Wholesalers,Printing and Writing Paper Merchant Wholesalers,
424110,424110,Printing and Writing Paper Merchant Wholesalers,Printing and Writing Paper Merchant Wholesalers,
323,323,Printing and Related Support ActivitiesT,Printing and Related Support ActivitiesT,
3231,3231,Printing and Related Support ActivitiesT,Printing and Related Support ActivitiesT,
334418,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
331,331,Primary Metal ManufacturingT,Primary Metal ManufacturingT,
321992,321992,Prefabricated Wood Building Manufacturing,Prefabricated Wood Building Manufacturing,
332311,332311,Prefabricated Metal Building and Component Manufacturing,Prefabricated Metal Building and Component Manufacturing,
332721,332721,Precision Turned Product Manufacturing,Precision Turned Product Manufacturing,
333991,333991,Power-Driven Handtool Manufacturing,Power-Driven Handtool Manufacturing,
335311,335311,"Power, Distribution, and Specialty Transformer Manufacturing","Power, Distribution, and Specialty Transformer Manufacturing",
33241,33241,Power Boiler and Heat Exchanger ManufacturingT,Power Boiler and Heat Exchanger ManufacturingT,
332410,332410,Power Boiler and Heat Exchanger Manufacturing,Power Boiler and Heat Exchanger Manufacturing,
23713,23713,Power and Communication Line and Related Structures ConstructionT,Power and Communication Line and Related Structures ConstructionT,
237130,237130,Power and Communication Line and Related Structures Construction,Power and Communication Line and Related Structures Construction,
332117,332117,Powder Metallurgy Part Manufacturing,Powder Metallurgy Part Manufacturing,
23811,23811,Poured Concrete Foundation and Structure Contractors,Poured Concrete Foundation and Structure Contractors,
238110,238110,Poured Concrete Foundation and Structure Contractors,Poured Concrete Foundation and Structure Contractors,
311615,311615,Poultry Processing,Poultry Processing,
11234,11234,Poultry HatcheriesT,Poultry HatcheriesT,
112340,112340,Poultry Hatcheries,Poultry Hatcheries,
42444,42444,Poultry and Poultry Product Merchant Wholesalers,Poultry and Poultry Product Merchant Wholesalers,
424440,424440,Poultry and Poultry Product Merchant Wholesalers,Poultry and Poultry Product Merchant Wholesalers,
1123,1123,Poultry and Egg ProductionT,Poultry and Egg ProductionT,
32711,32711,"Pottery, Ceramics, and Plumbing Fixture ManufacturingT","Pottery, Ceramics, and Plumbing Fixture ManufacturingT",
327110,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing","Pottery, Ceramics, and Plumbing Fixture Manufacturing",
111211,111211,Potato Farming,Potato Farming,
51219,51219,Postproduction Services and Other Motion Picture and Video IndustriesT,Postproduction Services and Other Motion Picture and Video IndustriesT,
115114,115114,Postharvest Crop Activities (except Cotton Ginning),Postharvest Crop Activities (except Cotton Ginning),
491,491,Postal ServiceT,Postal ServiceT,
4911,4911,Postal ServiceT,Postal ServiceT,
49111,49111,Postal ServiceT,Postal ServiceT,
491110,491110,Postal Service,Postal Service,
48831,48831,Port and Harbor OperationsT,Port and Harbor OperationsT,
488310,488310,Port and Harbor Operations,Port and Harbor Operations,
32614,32614,Polystyrene Foam Product ManufacturingT,Polystyrene Foam Product ManufacturingT,
326140,326140,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,
81394,81394,Political Organizations,Political Organizations,
813940,813940,Political Organizations,Political Organizations,
325612,325612,Polish and Other Sanitation Good Manufacturing,Polish and Other Sanitation Good Manufacturing,
92212,92212,Police Protection,Police Protection,
922120,922120,Police Protection,Police Protection,
23822,23822,"Plumbing, Heating, and Air-Conditioning ContractorsT","Plumbing, Heating, and Air-Conditioning ContractorsT",
238220,238220,"Plumbing, Heating, and Air-Conditioning Contractors","Plumbing, Heating, and Air-Conditioning Contractors",
332913,332913,Plumbing Fixture Fitting and Trim Manufacturing,Plumbing Fixture Fitting and Trim Manufacturing,
42372,42372,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,
423720,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,
332313,332313,Plate Work Manufacturing,Plate Work Manufacturing,
33231,33231,Plate Work and Fabricated Structural Product ManufacturingT,Plate Work and Fabricated Structural Product ManufacturingT,
3261,3261,Plastics Product ManufacturingT,Plastics Product ManufacturingT,
326191,326191,Plastics Plumbing Fixture Manufacturing,Plastics Plumbing Fixture Manufacturing,
32612,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape ManufacturingT","Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape ManufacturingT",
326122,326122,Plastics Pipe and Pipe Fitting Manufacturing,Plastics Pipe and Pipe Fitting Manufacturing,
32611,32611,Plastics Packaging Materials and Unlaminated Film and Sheet ManufacturingT,Plastics Packaging Materials and Unlaminated Film and Sheet ManufacturingT,
326112,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,
42461,42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,
424610,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,
325211,325211,Plastics Material and Resin Manufacturing,Plastics Material and Resin Manufacturing,
32616,32616,Plastics Bottle ManufacturingT,Plastics Bottle ManufacturingT,
326160,326160,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing,
326111,326111,Plastics Bag and Pouch Manufacturing,Plastics Bag and Pouch Manufacturing,
326,326,Plastics and Rubber Products ManufacturingT,Plastics and Rubber Products ManufacturingT,
486,486,Pipeline TransportationT,Pipeline TransportationT,
48691,48691,Pipeline Transportation of Refined Petroleum ProductsT,Pipeline Transportation of Refined Petroleum ProductsT,
486910,486910,Pipeline Transportation of Refined Petroleum Products,Pipeline Transportation of Refined Petroleum Products,
4862,4862,Pipeline Transportation of Natural GasT,Pipeline Transportation of Natural GasT,
48621,48621,Pipeline Transportation of Natural GasT,Pipeline Transportation of Natural GasT,
486210,486210,Pipeline Transportation of Natural Gas,Pipeline Transportation of Natural Gas,
4861,4861,Pipeline Transportation of Crude OilT,Pipeline Transportation of Crude OilT,
48611,48611,Pipeline Transportation of Crude OilT,Pipeline Transportation of Crude OilT,
486110,486110,Pipeline Transportation of Crude Oil,Pipeline Transportation of Crude Oil,
42431,42431,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers","Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",
424310,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers","Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",
541921,541921,"Photography Studios, Portrait","Photography Studios, Portrait",
54192,54192,Photographic ServicesT,Photographic ServicesT,
325992,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing","Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",*
42341,42341,Photographic Equipment and Supplies Merchant Wholesalers,Photographic Equipment and Supplies Merchant Wholesalers,
423410,423410,Photographic Equipment and Supplies Merchant Wholesalers,Photographic Equipment and Supplies Merchant Wholesalers,
812921,812921,Photofinishing Laboratories (except One-Hour),Photofinishing Laboratories (except One-Hour),
81292,81292,Photofinishing,Photofinishing,
325312,325312,Phosphatic Fertilizer Manufacturing,Phosphatic Fertilizer Manufacturing,
524292,524292,Third Party Administration of Insurance and Pension Funds,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,*
325412,325412,Pharmaceutical Preparation Manufacturing,Pharmaceutical Preparation Manufacturing,
3254,3254,Pharmaceutical and Medicine ManufacturingT,Pharmaceutical and Medicine ManufacturingT,
32541,32541,Pharmaceutical and Medicine ManufacturingT,Pharmaceutical and Medicine ManufacturingT,
32411,32411,Petroleum RefineriesT,Petroleum RefineriesT,
324110,324110,Petroleum Refineries,Petroleum Refineries,
324191,324191,Petroleum Lubricating Oil and Grease Manufacturing,Petroleum Lubricating Oil and Grease Manufacturing,
42471,42471,Petroleum Bulk Stations and Terminals,Petroleum Bulk Stations and Terminals,
424710,424710,Petroleum Bulk Stations and Terminals,Petroleum Bulk Stations and Terminals,
42472,42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),
424720,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),
4247,4247,Petroleum and Petroleum Products Merchant Wholesalers,Petroleum and Petroleum Products Merchant Wholesalers,
324,324,Petroleum and Coal Products ManufacturingT,Petroleum and Coal Products ManufacturingT,
3241,3241,Petroleum and Coal Products ManufacturingT,Petroleum and Coal Products ManufacturingT,
32511,32511,Petrochemical ManufacturingT,Petrochemical ManufacturingT,
325110,325110,Petrochemical Manufacturing,Petrochemical Manufacturing,
81291,81291,Pet Care (except Veterinary) Services,Pet Care (except Veterinary) Services,
812910,812910,Pet Care (except Veterinary) Services,Pet Care (except Veterinary) Services,
3253,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical ManufacturingT","Pesticide, Fertilizer, and Other Agricultural Chemical ManufacturingT",
32532,32532,Pesticide and Other Agricultural Chemical ManufacturingT,Pesticide and Other Agricultural Chemical ManufacturingT,
325320,325320,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,
8121,8121,Personal Care Services,Personal Care Services,
812,812,Personal and Laundry ServicesT,Personal and Laundry ServicesT,
8114,8114,Personal and Household Goods Repair and MaintenanceT,Personal and Household Goods Repair and MaintenanceT,
311991,311991,Perishable Prepared Food Manufacturing,Perishable Prepared Food Manufacturing,
711,711,"Performing Arts, Spectator Sports, and Related IndustriesT","Performing Arts, Spectator Sports, and Related IndustriesT",
7111,7111,Performing Arts CompaniesT,Performing Arts CompaniesT,
52511,52511,Pension Funds,Pension Funds,
525110,525110,Pension Funds,Pension Funds,
111992,111992,Peanut Farming,Peanut Farming,
541214,541214,Payroll Services,Payroll Services,
53211,53211,Passenger Car Rental and LeasingT,Passenger Car Rental and LeasingT,
532111,532111,Passenger Car Rental,Passenger Car Rental,
532112,532112,Passenger Car Leasing,Passenger Car Leasing,
92215,92215,Parole Offices and Probation Offices,Parole Offices and Probation Offices,
922150,922150,Parole Offices and Probation Offices,Parole Offices and Probation Offices,
81293,81293,Parking Lots and Garages,Parking Lots and Garages,
812930,812930,Parking Lots and Garages,Parking Lots and Garages,
32213,32213,Paperboard MillsT,Paperboard MillsT,
322130,322130,Paperboard Mills,Paperboard Mills,
32221,32221,Paperboard Container ManufacturingT,Paperboard Container ManufacturingT,
32212,32212,Paper MillsT,Paper MillsT,
322,322,Paper ManufacturingT,Paper ManufacturingT,
32222,32222,Paper Bag and Coated and Treated Paper ManufacturingT,Paper Bag and Coated and Treated Paper ManufacturingT,
322220,322220,Paper Bag and Coated and Treated Paper Manufacturing,Paper Bag and Coated and Treated Paper Manufacturing,
4241,4241,Paper and Paper Product Merchant Wholesalers,Paper and Paper Product Merchant Wholesalers,
23832,23832,Painting and Wall Covering ContractorsT,Painting and Wall Covering ContractorsT,
238320,238320,Painting and Wall Covering Contractors,Painting and Wall Covering Contractors,
42495,42495,"Paint, Varnish, and Supplies Merchant Wholesalers","Paint, Varnish, and Supplies Merchant Wholesalers",
424950,424950,"Paint, Varnish, and Supplies Merchant Wholesalers","Paint, Varnish, and Supplies Merchant Wholesalers",
3255,3255,"Paint, Coating, and Adhesive ManufacturingT","Paint, Coating, and Adhesive ManufacturingT",
44412,44412,Paint and Wallpaper Stores,Paint and Wallpaper Retailers,*
444120,444120,Paint and Wallpaper Stores,Paint and Wallpaper Retailers,*
32551,32551,Paint and Coating ManufacturingT,Paint and Coating ManufacturingT,
325510,325510,Paint and Coating Manufacturing,Paint and Coating Manufacturing,
488991,488991,Packing and Crating,Packing and Crating,
333993,333993,Packaging Machinery Manufacturing,Packaging Machinery Manufacturing,
56191,56191,Packaging and Labeling ServicesT,Packaging and Labeling ServicesT,
561910,561910,Packaging and Labeling Services,Packaging and Labeling Services,
42442,42442,Packaged Frozen Food Merchant Wholesalers,Packaged Frozen Food Merchant Wholesalers,
424420,424420,Packaged Frozen Food Merchant Wholesalers,Packaged Frozen Food Merchant Wholesalers,
333923,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",
62142,62142,Outpatient Mental Health and Substance Abuse CentersT,Outpatient Mental Health and Substance Abuse CentersT,
621420,621420,Outpatient Mental Health and Substance Abuse Centers,Outpatient Mental Health and Substance Abuse Centers,
6214,6214,Outpatient Care CentersT,Outpatient Care CentersT,
3219,3219,Other Wood Product ManufacturingT,Other Wood Product ManufacturingT,
562119,562119,Other Waste Collection,Other Waste Collection,
49319,49319,Other Warehousing and StorageT,Other Warehousing and StorageT,
493190,493190,Other Warehousing and Storage,Other Warehousing and Storage,
111219,111219,Other Vegetable (except Potato) and Melon Farming,Other Vegetable (except Potato) and Melon Farming,
485119,485119,Other Urban Transit Systems,Other Urban Transit Systems,
72119,72119,Other Traveler AccommodationT,Other Traveler AccommodationT,
56159,56159,Other Travel Arrangement and Reservation ServicesT,Other Travel Arrangement and Reservation ServicesT,
3369,3369,Other Transportation Equipment ManufacturingT,Other Transportation Equipment ManufacturingT,
33699,33699,Other Transportation Equipment ManufacturingT,Other Transportation Equipment ManufacturingT,
4859,4859,Other Transit and Ground Passenger TransportationT,Other Transit and Ground Passenger TransportationT,
48599,48599,Other Transit and Ground Passenger TransportationT,Other Transit and Ground Passenger TransportationT,
3149,3149,Other Textile Product MillsT,Other Textile Product MillsT,
611519,611519,Other Technical and Trade Schools,Other Technical and Trade Schools,
5619,5619,Other Support ServicesT,Other Support ServicesT,
48839,48839,Other Support Activities for Water TransportationT,Other Support Activities for Water TransportationT,
488390,488390,Other Support Activities for Water Transportation,Other Support Activities for Water Transportation,
4889,4889,Other Support Activities for TransportationT,Other Support Activities for TransportationT,
48899,48899,Other Support Activities for TransportationT,Other Support Activities for TransportationT,
48849,48849,Other Support Activities for Road TransportationT,Other Support Activities for Road TransportationT,
488490,488490,Other Support Activities for Road Transportation,Other Support Activities for Road Transportation,
48819,48819,Other Support Activities for Air TransportationT,Other Support Activities for Air TransportationT,
488190,488190,Other Support Activities for Air Transportation,Other Support Activities for Air Transportation,
711219,711219,Other Spectator Sports,Other Spectator Sports,
2389,2389,Other Specialty Trade ContractorsT,Other Specialty Trade ContractorsT,
44529,44529,Other Specialty Food Stores,Other Specialty Food Retailers,*
54149,54149,Other Specialized Design ServicesT,Other Specialized Design ServicesT,
541490,541490,Other Specialized Design Services,Other Specialized Design Services,
51229,51229,Other Sound Recording IndustriesT,Other Sound Recording IndustriesT,
512290,512290,Other Sound Recording Industries,Other Sound Recording Industries,
813319,813319,Other Social Advocacy Organizations,Other Social Advocacy Organizations,
311919,311919,Other Snack Food Manufacturing,Other Snack Food Manufacturing,
81399,81399,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",
813990,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",
56179,56179,Other Services to Buildings and DwellingsT,Other Services to Buildings and DwellingsT,
561790,561790,Other Services to Buildings and Dwellings,Other Services to Buildings and Dwellings,
54189,54189,Other Services Related to AdvertisingT,Other Services Related to AdvertisingT,
541890,541890,Other Services Related to Advertising,Other Services Related to Advertising,
81,81,Other Services (except Public Administration)T,Other Services (except Public Administration)T,
54169,54169,Other Scientific and Technical Consulting ServicesT,Other Scientific and Technical Consulting ServicesT,
541690,541690,Other Scientific and Technical Consulting Services,Other Scientific and Technical Consulting Services,
6116,6116,Other Schools and InstructionT,Other Schools and InstructionT,
32629,32629,Other Rubber Product ManufacturingT,Other Rubber Product ManufacturingT,
6239,6239,Other Residential Care FacilitiesT,Other Residential Care FacilitiesT,
62399,62399,Other Residential Care FacilitiesT,Other Residential Care FacilitiesT,
623990,623990,Other Residential Care Facilities,Other Residential Care Facilities,
5419,5419,"Other Professional, Scientific, and Technical ServicesT","Other Professional, Scientific, and Technical ServicesT",
42349,42349,Other Professional Equipment and Supplies Merchant Wholesalers,Other Professional Equipment and Supplies Merchant Wholesalers,
423490,423490,Other Professional Equipment and Supplies Merchant Wholesalers,Other Professional Equipment and Supplies Merchant Wholesalers,
327212,327212,Other Pressed and Blown Glass and Glassware Manufacturing,Other Pressed and Blown Glass and Glassware Manufacturing,
11239,11239,Other Poultry ProductionT,Other Poultry ProductionT,
112390,112390,Other Poultry Production,Other Poultry Production,
32619,32619,Other Plastics Product ManufacturingT,Other Plastics Product ManufacturingT,
4869,4869,Other Pipeline TransportationT,Other Pipeline TransportationT,
32419,32419,Other Petroleum and Coal Products ManufacturingT,Other Petroleum and Coal Products ManufacturingT,
8129,8129,Other Personal Services,Other Personal Services,
81219,81219,Other Personal Care Services,Other Personal Care Services,
812199,812199,Other Personal Care Services,Other Personal Care Services,
81149,81149,Other Personal and Household Goods Repair and MaintenanceT,Other Personal and Household Goods Repair and MaintenanceT,
811490,811490,Other Personal and Household Goods Repair and Maintenance,Other Personal and Household Goods Repair and Maintenance,
71119,71119,Other Performing Arts CompaniesT,Other Performing Arts CompaniesT,
711190,711190,Other Performing Arts Companies,Other Performing Arts Companies,
322219,322219,Other Paperboard Container Manufacturing,Other Paperboard Container Manufacturing,
62149,62149,Other Outpatient Care CentersT,Other Outpatient Care CentersT,
481219,481219,Other Nonscheduled Air Transportation,Other Nonscheduled Air Transportation,
3279,3279,Other Nonmetallic Mineral Product ManufacturingT,Other Nonmetallic Mineral Product ManufacturingT,
21239,21239,Other Nonmetallic Mineral Mining and QuarryingT,Other Nonmetallic Mineral Mining and QuarryingT,
